gene	x_labels	mean	median	sd
MT-ATP8	PBTA_Neurofibroma/Plexiform_20	832.42	673.93	678.98
MT-ATP8	PBTA_Embryonal tumor with multilayer rosettes_6	2253.87	707.39	3167.84
MT-ATP8	PBTA_CNS Embryonal tumor_15	3971.18	800.03	5868.93
MT-ATP8	PBTA_Schwannoma_19	1411.25	1303.42	566.41
MT-ATP8	PBTA_Ependymoma_93	1511.31	1418.91	1135.43
MT-ATP8	PBTA_Craniopharyngioma_15	2210.55	1559.82	2221.33
MT-ATP8	PBTA_Chordoma_6	1585.29	1562.98	870.86
MT-ATP8	PBTA_Sarcoma_6	1560.66	1673.72	861.64
MT-ATP8	PBTA_Pineoblastoma_5	3697.33	1694.53	3249.75
MT-ATP8	PBTA_Atypical meningioma_7	1829.74	1707.26	992.77
MT-ATP8	PBTA_Teratoma_7	1749.46	1780.84	1897.23
MT-ATP8	PBTA_Medulloblastoma_122	2101.35	1843.62	1648.89
MT-ATP8	PBTA_Diffuse intrinsic pontine glioma_10	2019.03	2109.61	886.54
MT-ATP8	PBTA_Meningioma_19	2183.36	2200.2	1133.01
MT-ATP8	PBTA_Choroid plexus papilloma_16	3009.99	2236.51	2110.22
MT-ATP8	PBTA_Adamantimomatous craniopharyngioma_20	2316.31	2254.89	822.6
MT-ATP8	PBTA_Ewing sarcoma_10	2516.01	2314.11	1228.06
MT-ATP8	PBTA_High-grade glioma/astrocytoma_111	5830.55	2530.61	10045.36
MT-ATP8	PBTA_Glial-neuronal tumor NOS_7	3385.36	2672.27	2916.79
MT-ATP8	PBTA_Atypical Teratoid Rhabdoid Tumor_30	3030.43	2789.74	1901.23
MT-ATP8	PBTA_Low-grade glioma/astrocytoma_301	3334.36	2813.96	2189.37
MT-ATP8	PBTA_Benign tumor_14	3643	2892.2	2788.76
MT-ATP8	GMKF_Neuroblastoma_208	4024.19	3895.09	1808.32
MT-ATP8	PBTA_Dysplasia/Gliosis_14	5561.41	4965.56	3023.21
MT-ATP8	PBTA_Dysembryoplastic neuroepithelial tumor_24	5721.82	5408.06	3001.56
MT-ATP8	PBTA_Diffuse midline glioma_68	17322.34	10131.57	18354.42
