Gene_symbol	Gene_Ensembl_ID	Dataset	Disease	x_labels	mean	median	sd	MONDO	RMTL	EFO
GPC2	ENSG00000213420	GMKF	Neuroblastoma	Neuroblastoma, GMKF (N = 209)	27.83	26.63	15.74	MONDO_0005072	Relevant Molecular Target (RMTL version 1.0)	EFO_0000621
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Adamantinomatous Craniopharyngioma, PBTA (N = 20)	1.47	1.5	0.56	MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor, PBTA (N = 30)	3.9	1.8	4.19	MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Chordoma	Chordoma, PBTA (N = 6)	0.47	0.48	0.14	MONDO_0008978	Relevant Molecular Target (RMTL version 1.0)	EFO_0003820
GPC2	ENSG00000213420	PBTA	Choroid plexus papilloma	Choroid plexus papilloma, PBTA (N = 16)	0.36	0.34	0.24	MONDO_0009837	Relevant Molecular Target (RMTL version 1.0)	EFO_1000177
GPC2	ENSG00000213420	PBTA	CNS Embryonal tumor	CNS Embryonal tumor, PBTA (N = 15)	26.97	14.75	32.96	MONDO_0018843	Relevant Molecular Target (RMTL version 1.0)	EFO_0005784
GPC2	ENSG00000213420	PBTA	Craniopharyngioma	Craniopharyngioma, PBTA (N = 15)	1.18	0.42	2.87	MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000209
GPC2	ENSG00000213420	PBTA	Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma, PBTA (N = 10)	3.8	3.68	1.87	MONDO_0006033	Relevant Molecular Target (RMTL version 1.0)	EFO_1000026
GPC2	ENSG00000213420	PBTA	Diffuse midline glioma	Diffuse midline glioma, PBTA (N = 68)	9.14	5.84	9.21	MONDO_0006033	Relevant Molecular Target (RMTL version 1.0)	EFO_1000026
GPC2	ENSG00000213420	PBTA	Dysembryoplastic neuroepithelial tumor	Dysembryoplastic neuroepithelial tumor, PBTA (N = 24)	4.51	4.32	3.28	MONDO_0005505	Relevant Molecular Target (RMTL version 1.0)	EFO_0005551
GPC2	ENSG00000213420	PBTA	Embryonal tumor with multilayer rosettes	Embryonal tumor with multilayer rosettes, PBTA (N = 7)	38.41	39.83	28.42	MONDO_0016715	Relevant Molecular Target (RMTL version 1.0)	EFO_0005784
GPC2	ENSG00000213420	PBTA	Ependymoma	Ependymoma, PBTA (N = 93)	1.36	0.77	1.45	MONDO_0016698	Relevant Molecular Target (RMTL version 1.0)	EFO_1000028
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Ewing sarcoma, PBTA (N = 10)	5.94	4.57	5.56	MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Glial-neuronal tumor NOS	Glial-neuronal tumor NOS, PBTA (N = 7)	5.64	3.42	7.23	MONDO_0016729	Relevant Molecular Target (RMTL version 1.0)	EFO_0003833
GPC2	ENSG00000213420	PBTA	High-grade glioma/astrocytoma	High-grade glioma/astrocytoma, PBTA (N = 111)	10.16	4.63	17.95	MONDO_0100342	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Low-grade glioma/astrocytoma, PBTA (N = 301)	2.83	2.4	2.09	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Medulloblastoma	Medulloblastoma, PBTA (N = 122)	27.58	23.85	18.41	MONDO_0007959	Relevant Molecular Target (RMTL version 1.0)	EFO_0002939
GPC2	ENSG00000213420	PBTA	Meningioma	Meningioma, PBTA (N = 29)	0.64	0.54	0.47	MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Neurofibroma/Plexiform	Neurofibroma/Plexiform, PBTA (N = 21)	0.48	0.45	0.36	MONDO_0003304	Relevant Molecular Target (RMTL version 1.0)	EFO_0000658
GPC2	ENSG00000213420	PBTA	Pineoblastoma	Pineoblastoma, PBTA (N = 5)	10.77	5.31	13.28	MONDO_0016722	Relevant Molecular Target (RMTL version 1.0)	EFO_1000475
GPC2	ENSG00000213420	PBTA	Sarcoma	Sarcoma, PBTA (N = 6)	1.49	0.76	1.9	MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Schwannoma	Schwannoma, PBTA (N = 19)	0.59	0.57	0.2	MONDO_0002546	Relevant Molecular Target (RMTL version 1.0)	EFO_0000693
GPC2	ENSG00000213420	PBTA	Teratoma	Teratoma, PBTA (N = 8)	1.83	0.58	2.76	MONDO_0002601	Relevant Molecular Target (RMTL version 1.0)	EFO_0000514
GPC2	ENSG00000213420	TARGET	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia, TARGET (N = 649)	7.76	3.49	12.59	MONDO_0004967	Relevant Molecular Target (RMTL version 1.0)	EFO_0000220
GPC2	ENSG00000213420	TARGET	Acute Myeloid Leukemia	Acute Myeloid Leukemia, TARGET (N = 217)	0.48	0.25	0.74	MONDO_0018874	Relevant Molecular Target (RMTL version 1.0)	EFO_0000222
GPC2	ENSG00000213420	TARGET	Clear cell sarcoma of the kidney	Clear cell sarcoma of the kidney, TARGET (N = 13)	1.63	1.38	0.96	MONDO_0005006	Relevant Molecular Target (RMTL version 1.0)	EFO_0000350
GPC2	ENSG00000213420	TARGET	Neuroblastoma	Neuroblastoma, TARGET (N = 157)	80.33	71.48	52.69	MONDO_0005072	Relevant Molecular Target (RMTL version 1.0)	EFO_0000621
GPC2	ENSG00000213420	TARGET	Osteosarcoma	Osteosarcoma, TARGET (N = 87)	4.18	3.17	5.59	MONDO_0009807	Relevant Molecular Target (RMTL version 1.0)	EFO_0000637
GPC2	ENSG00000213420	TARGET	Rhabdoid tumor	Rhabdoid tumor, TARGET (N = 64)	4.94	1.07	16.77	MONDO_0002728	Relevant Molecular Target (RMTL version 1.0)	EFO_0005701
GPC2	ENSG00000213420	TARGET	Wilms tumor	Wilms tumor, TARGET (N = 130)	6.42	6.08	3.53	MONDO_0006058	Relevant Molecular Target (RMTL version 1.0)	EFO_0003865
MYCN	ENSG00000134323	GMKF	Neuroblastoma	Neuroblastoma, GMKF (N = 209)	43.3	18.35	83.74	MONDO_0005072	Relevant Molecular Target (RMTL version 1.0)	EFO_0000621
MYCN	ENSG00000134323	PBTA	Adamantinomatous Craniopharyngioma	Adamantinomatous Craniopharyngioma, PBTA (N = 20)	6.66	6.38	4.07	MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
MYCN	ENSG00000134323	PBTA	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor, PBTA (N = 30)	6.22	1.28	9.89	MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
MYCN	ENSG00000134323	PBTA	Chordoma	Chordoma, PBTA (N = 6)	0.36	0.16	0.48	MONDO_0008978	Relevant Molecular Target (RMTL version 1.0)	EFO_0003820
MYCN	ENSG00000134323	PBTA	Choroid plexus papilloma	Choroid plexus papilloma, PBTA (N = 16)	1.59	1.1	1.39	MONDO_0009837	Relevant Molecular Target (RMTL version 1.0)	EFO_1000177
MYCN	ENSG00000134323	PBTA	CNS Embryonal tumor	CNS Embryonal tumor, PBTA (N = 15)	78.12	17.92	200.24	MONDO_0018843	Relevant Molecular Target (RMTL version 1.0)	EFO_0005784
MYCN	ENSG00000134323	PBTA	Craniopharyngioma	Craniopharyngioma, PBTA (N = 15)	0.94	0.5	1.36	MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000209
MYCN	ENSG00000134323	PBTA	Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma, PBTA (N = 10)	3.87	3.24	2.48	MONDO_0006033	Relevant Molecular Target (RMTL version 1.0)	EFO_1000026
MYCN	ENSG00000134323	PBTA	Diffuse midline glioma	Diffuse midline glioma, PBTA (N = 68)	8.4	4.44	13.82	MONDO_0006033	Relevant Molecular Target (RMTL version 1.0)	EFO_1000026
MYCN	ENSG00000134323	PBTA	Dysembryoplastic neuroepithelial tumor	Dysembryoplastic neuroepithelial tumor, PBTA (N = 24)	4.06	3.26	3.23	MONDO_0005505	Relevant Molecular Target (RMTL version 1.0)	EFO_0005551
