gene	x_labels	mean	median	sd
MT-ND1	Neurofibroma/Plexiform_20	645.94	473.75	403.4
MT-ND1	Ependymoma_93	748.66	576.3	795.95
MT-ND1	Teratoma_7	1118.58	647.28	1028.34
MT-ND1	Schwannoma_19	667.33	656.02	241.86
MT-ND1	Medulloblastoma_122	921.93	746.42	696.33
MT-ND1	Glial-neuronal tumor NOS_7	2769.05	764.72	4070.34
MT-ND1	Diffuse intrinsic pontine glioma_10	813.47	832.4	399.7
MT-ND1	Embryonal tumor with multilayer rosettes_6	1364.79	837.24	1654.61
MT-ND1	Sarcoma_6	810.55	858.67	306.28
MT-ND1	Ewing sarcoma_10	866.94	870.48	364.88
MT-ND1	Craniopharyngioma_15	1134.32	880.31	1007.27
MT-ND1	Atypical meningioma_7	981.14	909.66	294.51
MT-ND1	CNS Embryonal tumor_15	1848.53	934.52	2634.93
MT-ND1	Meningioma_19	1118.63	960.52	853.56
MT-ND1	Chordoma_6	932.89	1001.07	331.95
MT-ND1	Adamantimomatous craniopharyngioma_20	993.9	1001.73	270.63
MT-ND1	Pineoblastoma_5	1814.06	1018.94	1628.93
MT-ND1	High-grade glioma/astrocytoma_111	2568.12	1080.21	4933.55
MT-ND1	Atypical Teratoid Rhabdoid Tumor_30	1538.21	1101.68	1112.99
MT-ND1	Low-grade glioma/astrocytoma_301	1618.31	1104.17	1632.42
MT-ND1	Choroid plexus papilloma_16	1489.57	1176.56	1008.98
MT-ND1	Benign tumor_14	2300.56	1326.45	2192.6
MT-ND1	Diffuse midline glioma_68	5510.77	2821.59	5772.85
MT-ND1	Dysembryoplastic neuroepithelial tumor_24	3053.5	2884.44	1899.19
MT-ND1	Neuroblastoma_210	3262.3	2953.47	1640.59
MT-ND1	Dysplasia/Gliosis_14	3091.49	2987.91	1522.62
