gene	x_labels	mean	median	sd
MT-CYB	Neurofibroma/Plexiform_20	506.32	438.28	290.77
MT-CYB	Schwannoma_19	506.63	448.97	209.31
MT-CYB	Embryonal tumor with multilayer rosettes_6	992.9	478.42	1410.16
MT-CYB	Ependymoma_93	658.23	509.94	556.77
MT-CYB	Medulloblastoma_122	690.86	605.18	512.55
MT-CYB	Sarcoma_6	608.59	664.86	175.47
MT-CYB	Teratoma_7	1136.1	693.66	1232.08
MT-CYB	Ewing sarcoma_10	789.56	728.23	349.57
MT-CYB	CNS Embryonal tumor_15	1864.72	728.53	2373.26
MT-CYB	Choroid plexus papilloma_16	1108.47	743.39	729.11
MT-CYB	Craniopharyngioma_15	912.69	759.55	602.56
MT-CYB	Pineoblastoma_5	1122.49	788.81	828.71
MT-CYB	Chordoma_6	695.5	807.97	295.65
MT-CYB	Diffuse intrinsic pontine glioma_10	1018.73	815.14	658.12
MT-CYB	Glial-neuronal tumor NOS_7	2386.12	846.97	3584.98
MT-CYB	Atypical meningioma_7	794.93	871.03	202.74
MT-CYB	Meningioma_19	1113.6	924.79	795.84
MT-CYB	Adamantimomatous craniopharyngioma_20	953.12	978.96	241.85
MT-CYB	High-grade glioma/astrocytoma_111	2242.53	980.66	4097.75
MT-CYB	Low-grade glioma/astrocytoma_301	1357.07	1026.74	1147.62
MT-CYB	Atypical Teratoid Rhabdoid Tumor_30	1260.43	1082.63	878.43
MT-CYB	Benign tumor_14	1564.3	1115.35	1187.96
MT-CYB	Dysplasia/Gliosis_14	1865.43	1797.03	802.95
MT-CYB	Neuroblastoma_210	2080.37	1815.23	1123.48
MT-CYB	Dysembryoplastic neuroepithelial tumor_24	2141.69	2075.45	1022.73
MT-CYB	Diffuse midline glioma_68	5719.86	3746.56	6045.1
