gene	x_labels	mean	median	sd
GPC2	Adamantimomatous craniopharyngioma (N = 20)	1.47	1.5	0.56
GPC2	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82
GPC2	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65
GPC2	Adrenal Gland (N = 258)	0.72	0.63	0.36
GPC2	Artery - Aorta (N = 432)	1.45	1.3	0.74
GPC2	Artery - Coronary (N = 240)	1.37	1.14	0.95
GPC2	Artery - Tibial (N = 663)	0.75	0.61	0.59
GPC2	Bladder (N = 21)	1.98	1.85	1.25
GPC2	Brain - Amygdala (N = 152)	2.29	2.22	0.86
GPC2	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65
GPC2	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5
GPC2	Brain - Cerebellar Hemisphere (N = 215)	3.12	2.79	1.83
GPC2	Brain - Cerebellum (N = 241)	3.27	2.77	1.98
GPC2	Brain - Cortex (N = 255)	1.63	1.53	0.57
GPC2	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59
GPC2	Brain - Hippocampus (N = 197)	2.21	2.09	1
GPC2	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83
GPC2	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69
GPC2	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58
GPC2	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52
GPC2	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96
GPC2	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62
GPC2	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6
GPC2	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56
GPC2	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91
GPC2	Cervix - Endocervix (N = 10)	5.14	3.64	4.09
GPC2	Colon - Sigmoid (N = 373)	1.67	1.55	0.83
GPC2	Colon - Transverse (N = 406)	2.02	1.92	0.87
GPC2	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61
GPC2	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59
GPC2	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65
GPC2	Fallopian Tube (N = 9)	3.32	2.8	1.75
GPC2	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36
GPC2	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42
GPC2	Kidney - Cortex (N = 85)	0.66	0.48	0.75
GPC2	Liver (N = 226)	0.17	0.12	0.2
GPC2	Lung (N = 578)	1.52	1.31	1.01
GPC2	Minor Salivary Gland (N = 162)	2.06	1.84	1.2
GPC2	Muscle - Skeletal (N = 803)	0.45	0.34	0.4
GPC2	Nerve - Tibial (N = 619)	3	2.89	1.11
GPC2	Ovary (N = 180)	5.42	4.51	3.52
GPC2	Pancreas (N = 328)	0.33	0.26	0.32
GPC2	Pituitary (N = 283)	2.24	2.04	1.12
GPC2	Prostate (N = 245)	2.24	2.08	1.05
GPC2	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07
GPC2	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54
GPC2	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2
GPC2	Spleen (N = 241)	3.1	2.8	1.43
GPC2	Stomach (N = 359)	0.76	0.65	0.46
GPC2	Testis (N = 361)	32.59	32.61	10.03
GPC2	Thyroid (N = 653)	1.07	0.95	0.6
GPC2	Uterus (N = 142)	6.07	4.65	4.41
GPC2	Vagina (N = 156)	3.16	2.98	1.37
GPC2	Whole Blood (N = 755)	1.04	0.8	1.81
