gene	x_labels	mean	median	sd
GPC2	Adamantinomatous Craniopharyngioma, PBTA (N = 20)	1.47	1.5	0.56
GPC2	Atypical Teratoid Rhabdoid Tumor, PBTA (N = 30)	3.9	1.8	4.19
GPC2	Chordoma, PBTA (N = 6)	0.47	0.48	0.14
GPC2	Choroid plexus papilloma, PBTA (N = 16)	0.36	0.34	0.24
GPC2	CNS Embryonal tumor, PBTA (N = 15)	26.97	14.75	32.96
GPC2	Craniopharyngioma, PBTA (N = 15)	1.18	0.42	2.87
GPC2	Diffuse intrinsic pontine glioma, PBTA (N = 10)	3.8	3.68	1.87
GPC2	Diffuse midline glioma, PBTA (N = 68)	9.14	5.84	9.21
GPC2	Dysembryoplastic neuroepithelial tumor, PBTA (N = 24)	4.51	4.32	3.28
GPC2	Embryonal tumor with multilayer rosettes, PBTA (N = 7)	38.41	39.83	28.42
GPC2	Ependymoma, PBTA (N = 93)	1.36	0.77	1.45
GPC2	Ewing sarcoma, PBTA (N = 10)	5.94	4.57	5.56
GPC2	Glial-neuronal tumor NOS, PBTA (N = 7)	5.64	3.42	7.23
GPC2	High-grade glioma/astrocytoma, PBTA (N = 111)	10.16	4.63	17.95
GPC2	Low-grade glioma/astrocytoma, PBTA (N = 301)	2.83	2.4	2.09
GPC2	Medulloblastoma, PBTA (N = 122)	27.58	23.85	18.41
GPC2	Meningioma, PBTA (N = 29)	0.64	0.54	0.47
GPC2	Neuroblastoma, GMKF (N = 209)	27.83	26.63	15.74
GPC2	Neurofibroma/Plexiform, PBTA (N = 21)	0.48	0.45	0.36
GPC2	Pineoblastoma, PBTA (N = 5)	10.77	5.31	13.28
GPC2	Sarcoma, PBTA (N = 6)	1.49	0.76	1.9
GPC2	Schwannoma, PBTA (N = 19)	0.59	0.57	0.2
GPC2	Teratoma, PBTA (N = 8)	1.83	0.58	2.76
