gene	x_labels	mean	median	sd
MT-ND2	PBTA_High-grade glioma/astrocytoma_111	2622.19	1039.57	5401.22
MT-ND2	GTEx_Whole Blood_755	2424	2031	1678.14
MT-ND2	GTEx_Cells - Cultured fibroblasts_504	8527.08	5300	7240.81
MT-ND2	GTEx_Cells - EBV-transformed lymphocytes_174	5950.32	5725	1717.06
MT-ND2	GTEx_Pancreas_328	9755.79	9107.5	4663.04
MT-ND2	GTEx_Artery - Aorta_432	9866.93	9485.5	3789.19
MT-ND2	GTEx_Esophagus - Mucosa_555	11312.25	9947	5103.29
MT-ND2	GTEx_Artery - Tibial_663	10658.43	10350	3711.91
MT-ND2	GTEx_Spleen_241	11500.02	11040	3826.08
MT-ND2	GTEx_Vagina_156	12402.04	11715	4655.74
MT-ND2	GTEx_Ovary_180	12120.54	11950	4716.57
MT-ND2	GTEx_Uterus_142	13451.13	12235	4627.12
MT-ND2	GTEx_Cervix - Ectocervix_9	12045.11	12550	3811.8
MT-ND2	GTEx_Lung_578	14091.3	13300	4622.44
MT-ND2	GTEx_Artery - Coronary_240	15258.33	13765	7359.05
MT-ND2	GTEx_Cervix - Endocervix_10	13439	14105	4584.86
MT-ND2	GTEx_Minor Salivary Gland_162	14705.12	14250	4704.97
MT-ND2	GTEx_Thyroid_653	16730.26	16100	5564.48
MT-ND2	GTEx_Fallopian Tube_9	15863.33	16120	3727.79
MT-ND2	GTEx_Skin - Sun Exposed (Lower leg)_701	16745.69	16130	4788.55
MT-ND2	GTEx_Pituitary_283	17165.8	16650	5863.25
MT-ND2	GTEx_Skin - Not Sun Exposed (Suprapubic)_604	17611.67	16720	5351.52
MT-ND2	GTEx_Nerve - Tibial_619	17341.41	16760	4522.55
MT-ND2	GTEx_Bladder_21	19054.43	17980	7246.68
MT-ND2	GTEx_Testis_361	19271.2	18360	5187.2
MT-ND2	GTEx_Small Intestine - Terminal Ileum_187	21714.66	20720	7444.69
MT-ND2	GTEx_Prostate_245	22958.1	22010	7800.46
MT-ND2	GTEx_Colon - Transverse_406	22947.98	22170	6795.84
MT-ND2	GTEx_Muscle - Skeletal_803	23386.25	22350	7030.41
MT-ND2	GTEx_Esophagus - Gastroesophageal Junction_375	23778.89	22870	7023.81
MT-ND2	GTEx_Liver_226	22963.14	22890	8771.99
MT-ND2	GTEx_Brain - Cerebellar Hemisphere_215	25523.74	23280	7876.21
MT-ND2	GTEx_Esophagus - Muscularis_515	24732.65	23900	6964.67
MT-ND2	GTEx_Colon - Sigmoid_373	25042.72	24520	7239.42
MT-ND2	GTEx_Stomach_359	26234.87	24840	8309.04
MT-ND2	GTEx_Breast - Mammary Tissue_459	26276.28	25010	10178.75
MT-ND2	GTEx_Adipose - Subcutaneous_663	26532.79	26070	7067.69
MT-ND2	GTEx_Adrenal Gland_258	29067.13	26105	9330.47
MT-ND2	GTEx_Brain - Cerebellum_241	27924.77	26930	6199.93
MT-ND2	GTEx_Adipose - Visceral (Omentum)_541	28499.52	28060	9481.91
MT-ND2	GTEx_Heart - Atrial Appendage_429	32808.49	31390	10399.85
MT-ND2	GTEx_Brain - Frontal Cortex (BA9)_209	32921.97	31950	7754.62
MT-ND2	GTEx_Kidney - Cortex_85	33023.35	33280	9856.41
MT-ND2	GTEx_Heart - Left Ventricle_432	35010.03	34585	9150.39
MT-ND2	GTEx_Brain - Anterior cingulate cortex (BA24)_176	35581.14	35315	6790.3
MT-ND2	GTEx_Brain - Cortex_255	36392.31	35900	6272.43
MT-ND2	GTEx_Brain - Hypothalamus_202	37037.77	36720	8578.17
MT-ND2	GTEx_Brain - Amygdala_152	37502.63	37665	6642.39
MT-ND2	GTEx_Brain - Hippocampus_197	38804.11	39030	6988.51
MT-ND2	GTEx_Brain - Spinal cord (cervical c-1)_159	38867.3	39660	10123.75
MT-ND2	GTEx_Brain - Nucleus accumbens (basal ganglia)_246	41323.74	40105	8492.21
MT-ND2	GTEx_Brain - Substantia nigra_139	43365.47	42660	7543.78
MT-ND2	GTEx_Brain - Caudate (basal ganglia)_246	48133.74	48025	8781.76
MT-ND2	GTEx_Brain - Putamen (basal ganglia)_205	49276.88	49220	8852.02
