gene	x_labels	mean	median	sd
GPC2	Adamantinomatous Craniopharyngioma (N = 20)	1.47	1.5	0.56
GPC2	Atypical Teratoid Rhabdoid Tumor (N = 30)	3.9	1.8	4.19
GPC2	Chordoma (N = 6)	0.47	0.48	0.14
GPC2	Choroid plexus papilloma (N = 16)	0.36	0.34	0.24
GPC2	CNS Embryonal tumor (N = 15)	26.97	14.75	32.96
GPC2	Craniopharyngioma (N = 15)	1.18	0.42	2.87
GPC2	Diffuse intrinsic pontine glioma (N = 10)	3.8	3.68	1.87
GPC2	Diffuse midline glioma (N = 68)	9.14	5.84	9.21
GPC2	Dysembryoplastic neuroepithelial tumor (N = 24)	4.51	4.32	3.28
GPC2	Embryonal tumor with multilayer rosettes (N = 7)	38.41	39.83	28.42
GPC2	Ependymoma (N = 93)	1.36	0.77	1.45
GPC2	Ewing sarcoma (N = 10)	5.94	4.57	5.56
GPC2	Glial-neuronal tumor NOS (N = 7)	5.64	3.42	7.23
GPC2	High-grade glioma/astrocytoma (N = 111)	10.16	4.63	17.95
GPC2	Low-grade glioma/astrocytoma (N = 301)	2.83	2.4	2.09
GPC2	Medulloblastoma (N = 122)	27.58	23.85	18.41
GPC2	Meningioma (N = 29)	0.64	0.54	0.47
GPC2	Neuroblastoma (N = 211)	27.57	26.32	15.88
GPC2	Neurofibroma/Plexiform (N = 21)	0.48	0.45	0.36
GPC2	Pineoblastoma (N = 5)	10.77	5.31	13.28
GPC2	Sarcoma (N = 6)	1.49	0.76	1.9
GPC2	Schwannoma (N = 19)	0.59	0.57	0.2
GPC2	Teratoma (N = 8)	1.83	0.58	2.76
