Gene_symbol	Gene_Ensembl_ID	Dataset	Disease	x_labels	mean	median	sd	MONDO	RMTL	EFO
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Low-grade glioma/astrocytoma (N = 301)	2.83	2.4	2.09	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Adrenal Gland (N = 258)	0.72	0.63	0.36	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Artery - Aorta (N = 432)	1.45	1.3	0.74	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Artery - Coronary (N = 240)	1.37	1.14	0.95	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Artery - Tibial (N = 663)	0.75	0.61	0.59	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Bladder (N = 21)	1.98	1.85	1.25	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Blood (N = 755)	1.04	0.8	1.81	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Amygdala (N = 152)	2.29	2.22	0.86	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Cerebellum (N = 456)	3.2	2.78	1.91	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Cortex (N = 255)	1.63	1.53	0.57	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Hippocampus (N = 197)	2.21	2.09	1	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	all_cohorts	Low-grade glioma/astrocytoma	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6	MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
