gene	x_labels	mean	median	sd
MT-ATP6	Neurofibroma/Plexiform_20	631.1	521.49	395.31
MT-ATP6	Embryonal tumor with multilayer rosettes_6	1773.59	598.56	2725.01
MT-ATP6	Schwannoma_19	815.05	703.8	356.02
MT-ATP6	CNS Embryonal tumor_15	3629.74	718.72	5367.55
MT-ATP6	Ependymoma_93	1029.1	842.13	772.61
MT-ATP6	Medulloblastoma_122	1167.23	999.52	1029.99
MT-ATP6	Craniopharyngioma_15	1424.78	1003.97	1181.79
MT-ATP6	Teratoma_7	1495.44	1018.9	1439.3
MT-ATP6	Sarcoma_6	1025.47	1039	394.12
MT-ATP6	Pineoblastoma_5	2003.49	1097.21	1770.14
MT-ATP6	Atypical meningioma_7	1229.74	1168.07	543.91
MT-ATP6	Choroid plexus papilloma_16	1739.26	1204.33	1225.07
MT-ATP6	Glial-neuronal tumor NOS_7	3196.57	1278.72	3819.91
MT-ATP6	Chordoma_6	1103.59	1287.8	420.59
MT-ATP6	Meningioma_19	1362.13	1329.84	749.72
MT-ATP6	Ewing sarcoma_10	1425.22	1357.66	654.25
MT-ATP6	Diffuse intrinsic pontine glioma_10	1406.55	1422.82	443.77
MT-ATP6	High-grade glioma/astrocytoma_111	4245.3	1464.2	8406.39
MT-ATP6	Adamantimomatous craniopharyngioma_20	1390.88	1493.61	395.28
MT-ATP6	Low-grade glioma/astrocytoma_301	2120.31	1635.96	1694.3
MT-ATP6	Benign tumor_14	2456.17	1661.49	1871.3
MT-ATP6	Atypical Teratoid Rhabdoid Tumor_30	1912.71	1698.56	1297.34
MT-ATP6	Neuroblastoma_210	2799.52	2480.88	1403.23
MT-ATP6	Dysplasia/Gliosis_14	3527.36	3250.85	1700.23
MT-ATP6	Dysembryoplastic neuroepithelial tumor_24	3602.32	3436.36	1778.23
MT-ATP6	Diffuse midline glioma_68	12045.35	6436.48	13275.66
