gene	x_labels	mean	median	sd
MT-RNR2	PBTA_Teratoma_7	9.2	7.16	8.91
MT-RNR2	GTEx_Pancreas_328	4409.45	3722	3543.92
MT-RNR2	GTEx_Whole Blood_755	4820.94	4337	2643.18
MT-RNR2	GTEx_Ovary_180	6025.5	4685	4623.78
MT-RNR2	GTEx_Cervix - Ectocervix_9	6441.11	4795	3721.05
MT-RNR2	GTEx_Minor Salivary Gland_162	6255.53	5453	3254.68
MT-RNR2	GTEx_Uterus_142	6280.61	5485.5	3053.8
MT-RNR2	GTEx_Artery - Aorta_432	6494.26	6111.5	2408.79
MT-RNR2	GTEx_Cervix - Endocervix_10	7027.6	6274.5	3657.05
MT-RNR2	GTEx_Cells - Cultured fibroblasts_504	6650.21	6275.5	2685.22
MT-RNR2	GTEx_Vagina_156	7858.83	6327.5	5467.28
MT-RNR2	GTEx_Fallopian Tube_9	7863.22	6947	2546.47
MT-RNR2	GTEx_Nerve - Tibial_619	8232.12	7995	2357.9
MT-RNR2	GTEx_Thyroid_653	9592.77	8261	5914.44
MT-RNR2	GTEx_Esophagus - Mucosa_555	10379.39	8604	6058.27
MT-RNR2	GTEx_Artery - Tibial_663	9368.67	8964	3233.63
MT-RNR2	GTEx_Lung_578	10254.83	9069	5166.52
MT-RNR2	GTEx_Artery - Coronary_240	10550.05	9130.5	6107.84
MT-RNR2	GTEx_Spleen_241	10501.32	9140	5389.91
MT-RNR2	GTEx_Breast - Mammary Tissue_459	10489.99	9542	4505.54
MT-RNR2	GTEx_Skin - Sun Exposed (Lower leg)_701	10674.9	9671	4044.59
MT-RNR2	GTEx_Adipose - Subcutaneous_663	10631.05	9840	4044.21
MT-RNR2	GTEx_Small Intestine - Terminal Ileum_187	11868.55	10840	5318.35
MT-RNR2	GTEx_Skin - Not Sun Exposed (Suprapubic)_604	11877.9	10865	4461.99
MT-RNR2	GTEx_Cells - EBV-transformed lymphocytes_174	11294.78	10965	3361.33
MT-RNR2	GTEx_Pituitary_283	13991.86	10980	9707.49
MT-RNR2	GTEx_Adipose - Visceral (Omentum)_541	13283.83	11990	6910.9
MT-RNR2	GTEx_Bladder_21	14284.48	12580	7396.67
MT-RNR2	GTEx_Prostate_245	17483.67	13830	10870.03
MT-RNR2	GTEx_Colon - Sigmoid_373	16831.23	14110	8182.73
MT-RNR2	GTEx_Esophagus - Muscularis_515	19269.35	16090	9974.64
MT-RNR2	GTEx_Esophagus - Gastroesophageal Junction_375	20670.18	16540	14735.28
MT-RNR2	GTEx_Stomach_359	18634.96	16600	9342.85
MT-RNR2	GTEx_Muscle - Skeletal_803	18052.63	16720	7458.81
MT-RNR2	GTEx_Colon - Transverse_406	18161.63	16785	7434.62
MT-RNR2	GTEx_Liver_226	19241.55	18805	11932.18
MT-RNR2	GTEx_Testis_361	20475.82	19160	6803.63
MT-RNR2	GTEx_Adrenal Gland_258	34693.53	27975	20529.22
MT-RNR2	GTEx_Heart - Atrial Appendage_429	34349.65	30680	16487.27
MT-RNR2	GTEx_Brain - Cerebellum_241	37604.32	34880	11842.82
MT-RNR2	GTEx_Brain - Cerebellar Hemisphere_215	39554.65	35790	15819.93
MT-RNR2	GTEx_Heart - Left Ventricle_432	41181.31	36685	19141.32
MT-RNR2	GTEx_Kidney - Cortex_85	49283.19	41120	34292.33
MT-RNR2	GTEx_Brain - Cortex_255	62540.75	59310	17819.74
MT-RNR2	GTEx_Brain - Spinal cord (cervical c-1)_159	65212.64	60600	25963.27
MT-RNR2	GTEx_Brain - Frontal Cortex (BA9)_209	67555.31	62380	26956.82
MT-RNR2	GTEx_Brain - Hypothalamus_202	73695.99	72455	25279.1
MT-RNR2	GTEx_Brain - Caudate (basal ganglia)_246	76273.25	73850	20058.04
MT-RNR2	GTEx_Brain - Anterior cingulate cortex (BA24)_176	81515.34	76845	24210.13
MT-RNR2	GTEx_Brain - Nucleus accumbens (basal ganglia)_246	81741.54	78380	24532.2
MT-RNR2	GTEx_Brain - Putamen (basal ganglia)_205	82698.63	80980	19922.61
MT-RNR2	GTEx_Brain - Hippocampus_197	86123.35	84440	24160.36
MT-RNR2	GTEx_Brain - Amygdala_152	93969.93	90025	24831.54
MT-RNR2	GTEx_Brain - Substantia nigra_139	90809.28	91690	23720.72
