gene	x_labels	mean	median	sd
MT-ND2	Neurofibroma/Plexiform_20	514.44	430.78	305.36
MT-ND2	Teratoma_7	908.93	529.04	904.19
MT-ND2	Embryonal tumor with multilayer rosettes_6	1166.39	550.95	1767.38
MT-ND2	Ependymoma_93	709.75	575.36	667.56
MT-ND2	CNS Embryonal tumor_15	1819.99	577.21	2604.14
MT-ND2	Schwannoma_19	662.21	577.39	282.35
MT-ND2	Pineoblastoma_5	1346.48	594.77	1323.73
MT-ND2	Craniopharyngioma_15	946.73	616.47	851.44
MT-ND2	Glial-neuronal tumor NOS_7	1853.22	637.39	2411.83
MT-ND2	Medulloblastoma_122	783.94	652.69	900.91
MT-ND2	Ewing sarcoma_10	731.75	701.64	310.34
MT-ND2	Meningioma_19	970.16	757.35	670.18
MT-ND2	Chordoma_6	766.97	757.97	300
MT-ND2	Sarcoma_6	711.13	773.02	288.8
MT-ND2	Atypical meningioma_7	726.7	833.07	250.02
MT-ND2	Diffuse intrinsic pontine glioma_10	967.42	845.12	593.13
MT-ND2	Adamantimomatous craniopharyngioma_20	886.77	899.11	255.93
MT-ND2	Low-grade glioma/astrocytoma_301	1321.92	911.08	1232.05
MT-ND2	Benign tumor_14	1809.62	975.05	1648.98
MT-ND2	Atypical Teratoid Rhabdoid Tumor_30	1233.1	1009.84	890.14
MT-ND2	Choroid plexus papilloma_16	1188.36	1034.12	769.26
MT-ND2	High-grade glioma/astrocytoma_111	2622.19	1039.57	5401.22
MT-ND2	Neuroblastoma_210	2530.35	2157.51	1507.59
MT-ND2	Dysplasia/Gliosis_14	2419.99	2416.36	1064.78
MT-ND2	Dysembryoplastic neuroepithelial tumor_24	2376.8	2497.31	1395.55
MT-ND2	Diffuse midline glioma_68	6473.52	3201.78	6525.31
