gene	ENSG_id	cohort	cancer_group	x_labels	mean	median	sd	efo_code	mondo_code	uberon_code	plot_api
GPC2	NA	PBTA, GMKF	NA	Adamantinomatous Craniopharyngioma, PBTA (N = 20)	1.47	1.5	0.56	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Atypical Teratoid Rhabdoid Tumor, PBTA (N = 30)	3.9	1.8	4.19	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Chordoma, PBTA (N = 6)	0.47	0.48	0.14	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Choroid plexus papilloma, PBTA (N = 16)	0.36	0.34	0.24	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	CNS Embryonal tumor, PBTA (N = 15)	26.97	14.75	32.96	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Craniopharyngioma, PBTA (N = 15)	1.18	0.42	2.87	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Diffuse intrinsic pontine glioma, PBTA (N = 10)	3.8	3.68	1.87	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Diffuse midline glioma, PBTA (N = 68)	9.14	5.84	9.21	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Dysembryoplastic neuroepithelial tumor, PBTA (N = 24)	4.51	4.32	3.28	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Embryonal tumor with multilayer rosettes, PBTA (N = 7)	38.41	39.83	28.42	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Ependymoma, PBTA (N = 93)	1.36	0.77	1.45	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Ewing sarcoma, PBTA (N = 10)	5.94	4.57	5.56	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Glial-neuronal tumor NOS, PBTA (N = 7)	5.64	3.42	7.23	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	High-grade glioma/astrocytoma, PBTA (N = 111)	10.16	4.63	17.95	NA	NA	NA	NA
