gene	count
TTN	2659
MUC16	1222
OBSCN	825
AHNAK2	809
SYNE1	686
FLG	622
MUC5B	552
DNAH17	550
PLEC	543
DST	541
SYNE2	537
NEB	531
HSPG2	515
LAMA5	505
AHNAK	493
HMCN1	484
USH2A	468
DNAH11	445
MACF1	440
MUC17	435
DNAH5	430
GPR98	420
FAT1	412
PKD1	402
MDN1	397
RNF213	396
RYR1	393
DNAH2	389
DNAH3	386
DNAH8	383
DNAH1	381
DNAH9	379
ABCA13	375
APOB	372
SRRM2	371
CUBN	363
SPTBN5	357
PKHD1	353
LRP2	352
FBN3	350
CDH23	349
DNAH10	349
FAT4	348
RYR3	347
PKHD1L1	345
FAT2	344
CSMD1	341
PCNT	341
COL6A3	336
FRAS1	332
