Gene_Symbol	Disease	Dataset	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
LINC01019	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MYO3A	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
FOCAD	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MLLT3	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
SMAD4	Adamantinomatous Craniopharyngioma	PBTA	2/22	9.09%	2/17	11.76%	0/3	0.00%
FOCAD	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
