Kids_First_Biospecimen_ID	chrom	loc.start	loc.end	num.mark	seg.mean	copy.num	tumor_ploidy	status
BS_007JTNB8	chr1	149901677	152583317	NA	0.42811899999999997	3	2	gain
BS_007JTNB8	chr1	152615406	152788069	NA	0.40494100000000005	3	2	gain
BS_007JTNB8	chr1	152798766	161522119	NA	0.423837	3	2	gain
BS_007JTNB8	chr1	161580184	169255329	NA	0.424792	3	2	gain
BS_007JTNB8	chr1	169276722	207527155	NA	0.42481318954048974	3	2	gain
BS_007JTNB8	chr1	207572996	248945736	NA	0.425032	3	2	gain
BS_007JTNB8	chr10	41480456	41856764	NA	-0.485261	1	2	loss
BS_007JTNB8	chr10	42095294	79715407	NA	-0.587222	1	2	loss
BS_007JTNB8	chr10	79744440	131971776	NA	-0.595433	1	2	loss
BS_007JTNB8	chr11	771036	866778	NA	0.214821	3	2	gain
BS_007JTNB8	chr13	99966948	99991872	NA	0.263969	3	2	gain
BS_007JTNB8	chr14	103515996	103563240	NA	0.237098	3	2	gain
BS_007JTNB8	chr14	105462674	105499272	NA	0.333263	3	2	gain
BS_007JTNB8	chr16	526474	590650	NA	0.206861	3	2	gain
BS_007JTNB8	chr16	627324	741925	NA	0.217607	3	2	gain
BS_007JTNB8	chr19	1236588	1279372	NA	0.373006	3	2	gain
BS_007JTNB8	chr19	55637188	55660107	NA	0.266055	3	2	gain
BS_007JTNB8	chr2	43223040	43227908	NA	0.47273199999999993	3	2	gain
BS_007JTNB8	chr4	2240748	2268214	NA	0.217073	3	2	gain
BS_007JTNB8	chr5	179816208	179821032	NA	0.215596	4	2	gain
BS_00TRPEQX	chr11	28845469	28859220	NA	0.533015	4	3	gain
BS_00TRPEQX	chr11	124734086	124836525	NA	0.5180768501955711	4	3	gain
BS_00TRPEQX	chr15	64200289	64231650	NA	0.487369	4	3	gain
BS_00TRPEQX	chr15	64301850	64326825	NA	0.411755	4	3	gain
BS_00TRPEQX	chr15	64541475	64646100	NA	3.1468900373981565	44	3	gain
BS_00TRPEQX	chr15	64681875	72646257	NA	0.477476	4	3	gain
BS_00TRPEQX	chr15	72661156	74066143	NA	0.487155	4	3	gain
BS_00TRPEQX	chr15	74089064	75254538	NA	0.4744570000000001	4	3	gain
BS_00TRPEQX	chr15	75295794	82269000	NA	0.4868098544022487	4	3	gain
BS_00TRPEQX	chr15	82640925	100629000	NA	0.48969300000000004	4	3	gain
BS_00TRPEQX	chr15	100881022	100907100	NA	3.90908	44	3	gain
BS_00TRPEQX	chr15	101052923	101071800	NA	0.52499	4	3	gain
BS_00TRPEQX	chr16	19002177	19237101	NA	0.4790273250095856	4	3	gain
BS_00TRPEQX	chr16	51798150	51818521	NA	0.483769	4	3	gain
BS_00TRPEQX	chr16	51833420	51852150	NA	0.43249199999999993	4	3	gain
BS_00TRPEQX	chr16	71204504	74359481	NA	-0.788269889235074	2	3	loss
BS_00TRPEQX	chr16	74429389	90106867	NA	-0.783455	2	3	loss
BS_00TRPEQX	chr17	40893525	41029875	NA	0.467229	4	3	gain
