gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	p	q	cooccur_score
CTNNB1	KMT2D	1	10	5	76	1.52	1	0.544868015430487	1	0.26370868508495465
CTNNB1	DDX3X	4	7	2	79	22.571428571428573	1	0.0015525636366901126	0.03260383637049236	2.808950589865096
CTNNB1	KDM6A	0	11	6	75	0	-1	1	1	0
CTNNB1	PTCH1	0	11	5	76	0	-1	1	1	0
CTNNB1	KMT2C	0	11	5	76	0	-1	1	1	0
CTNNB1	TP53	3	8	2	79	14.8125	1	0.011423847281199507	0.11995039645259482	1.9421876113605885
KMT2D	DDX3X	1	5	5	81	3.24	1	0.34065917657969935	0.8942303385217107	0.46767990766617246
KMT2D	KDM6A	0	6	6	80	0	-1	1	1	0
KMT2D	PTCH1	0	6	5	81	0	-1	1	1	0
KMT2D	KMT2C	1	5	4	82	4.1	1	0.2918191155856032	0.8754573467568096	0.5348862630887777
KMT2D	TP53	1	5	4	82	4.1	1	0.2918191155856032	0.8754573467568096	0.5348862630887777
DDX3X	KDM6A	0	6	6	80	0	-1	1	1	0
DDX3X	PTCH1	1	5	4	82	4.1	1	0.2918191155856032	0.8754573467568096	0.5348862630887777
DDX3X	KMT2C	0	6	5	81	0	-1	1	1	0
DDX3X	TP53	1	5	4	82	4.1	1	0.2918191155856032	0.8754573467568096	0.5348862630887777
KDM6A	PTCH1	0	6	5	81	0	-1	1	1	0
KDM6A	KMT2C	0	6	5	81	0	-1	1	1	0
KDM6A	TP53	0	6	5	81	0	-1	1	1	0
PTCH1	KMT2C	0	5	5	82	0	-1	1	1	0
PTCH1	TP53	1	4	4	83	5.1875	1	0.24863735434082285	0.8754573467568096	0.6044336240233827
KMT2C	TP53	0	5	5	82	0	-1	1	1	0
