gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	odds_ratio_ci	p	q	cooccur_score	n_mutated_gene1	n_mutated_gene2	perc_mutated_gene1	perc_mutated_gene2	perc_cooccur	perc_mutexcl
CTNNB1	TTN	0	12	9	115	0	-1	0,8.86608703922014	1	1	0	12	9	8.823529411764707	6.617647058823529	0	100
CTNNB1	DDX3X	5	7	4	120	21.428571428571427	1	4.68801972351578,97.9483237167404	2.3073292859078333e-4	0.0041531927146341	3.6368904215830367	12	9	8.823529411764707	6.617647058823529	31.25	68.75
CTNNB1	KMT2D	2	10	6	118	3.933333333333333	1	0.70037593727651,22.0897239435042	0.14836321827212245	0.5341075857796409	0.8286737545921142	12	8	8.823529411764707	5.882352941176471	11.11111111111111	88.88888888888889
CTNNB1	KMT2C	0	12	8	116	0	-1	0,10.0765700924123	1	1	0	12	8	8.823529411764707	5.882352941176471	0	100
CTNNB1	TP53	5	7	2	122	43.57142857142857	1	7.14384428175717,265.748987922807	4.217471803559989e-5	0.0015182898492815961	4.3749478122597	12	7	8.823529411764707	5.147058823529412	35.714285714285715	64.28571428571429
CTNNB1	KDM6A	0	12	6	118	0	-1	0,13.7246041556265	1	1	0	12	6	8.823529411764707	4.411764705882353	0	100
CTNNB1	PTCH1	0	12	5	119	0	-1	0,16.6573480289124	1	1	0	12	5	8.823529411764707	3.676470588235294	0	100
CTNNB1	SMARCA4	3	9	2	122	20.333333333333332	1	3.00187214929654,137.728865148814	0.0048339314778019045	0.05800717773362285	2.315699510118571	12	5	8.823529411764707	3.676470588235294	21.428571428571427	78.57142857142857
TTN	DDX3X	2	7	7	120	4.8979591836734695	1	0.854084941174488,28.0885460080137	0.1100816886973287	0.4403267547893148	0.9582849168056372	9	9	6.617647058823529	6.617647058823529	12.5	87.5
TTN	KMT2D	1	8	7	120	2.142857142857143	1	0.234091193620717,19.6155893934812	0.43045228076629033	0.8609045615325807	0.36607498671570093	9	8	6.617647058823529	5.882352941176471	6.25	93.75
TTN	KMT2C	2	7	6	121	5.761904761904762	1	0.979030808803599,33.9106248615725	0.08872364922606456	0.3992564215172905	1.0519606038499898	9	8	6.617647058823529	5.882352941176471	13.333333333333334	86.66666666666667
TTN	TP53	0	9	7	120	0	-1	0,15.963080927691	1	1	0	9	7	6.617647058823529	5.147058823529412	0	100
TTN	KDM6A	1	8	5	122	3.05	1	0.317284789653282,29.3190858917802	0.3421959193147859	0.8455583570269399	0.46572517372430977	9	6	6.617647058823529	4.411764705882353	7.142857142857143	92.85714285714286
TTN	PTCH1	1	8	4	123	3.84375	1	0.383413995672598,38.533841302747	0.2936693887724339	0.8132383073698171	0.5321413206888808	9	5	6.617647058823529	3.676470588235294	7.6923076923076925	92.3076923076923
TTN	SMARCA4	0	9	5	122	0	-1	0,22.8359635137032	0.9999999999999999	1	-4.8216373327664354e-17	9	5	6.617647058823529	3.676470588235294	0	100
DDX3X	KMT2D	2	7	6	121	5.761904761904762	1	0.979030808803599,33.9106248615725	0.08872364922606456	0.3992564215172905	1.0519606038499898	9	8	6.617647058823529	5.882352941176471	13.333333333333334	86.66666666666667
DDX3X	KMT2C	1	8	7	120	2.142857142857143	1	0.234091193620717,19.6155893934812	0.43045228076629033	0.8609045615325807	0.36607498671570093	9	8	6.617647058823529	5.882352941176471	6.25	93.75
DDX3X	TP53	2	7	5	122	6.9714285714285715	1	1.14301508508115,42.5198380676492	0.06895422426092757	0.3992564215172905	1.1614391230049528	9	7	6.617647058823529	5.147058823529412	14.285714285714286	85.71428571428571
DDX3X	KDM6A	0	9	6	121	0	-1	0,18.8211269021599	1	1	0	9	6	6.617647058823529	4.411764705882353	0	100
DDX3X	PTCH1	2	7	3	124	11.80952380952381	1	1.68944088288663,82.5508924404719	0.035255750518446344	0.25384140373281366	1.452770035701151	9	5	6.617647058823529	3.676470588235294	16.666666666666668	83.33333333333333
DDX3X	SMARCA4	2	7	3	124	11.80952380952381	1	1.68944088288663,82.5508924404719	0.035255750518446344	0.25384140373281366	1.452770035701151	9	5	6.617647058823529	3.676470588235294	16.666666666666668	83.33333333333333
KMT2D	KMT2C	1	7	7	121	2.4693877551020407	1	0.265645594013241,22.9549295093671	0.3924824328173764	0.8609045615325807	0.4061797771383839	8	8	5.882352941176471	5.882352941176471	6.666666666666667	93.33333333333333
KMT2D	TP53	1	7	6	122	2.9047619047619047	1	0.306183112824802,27.5575019324597	0.35231598209455833	0.8455583570269399	0.45306765549022254	8	7	5.882352941176471	5.147058823529412	7.142857142857143	92.85714285714286
KMT2D	KDM6A	0	8	6	122	0	-1	0,21.3789682410577	1	1	0	8	6	5.882352941176471	4.411764705882353	0	100
KMT2D	PTCH1	0	8	5	123	0	-1	0,25.936458856204	0.9999999999999999	1	-4.8216373327664354e-17	8	5	5.882352941176471	3.676470588235294	0	100
KMT2D	SMARCA4	1	7	4	124	4.428571428571429	1	0.435269691699547,45.057685549806	0.26495676229976867	0.79487028689930606	0.5768249918243189	8	5	5.882352941176471	3.676470588235294	8.333333333333334	91.66666666666667
KMT2C	TP53	0	8	7	121	0	-1	0,18.1343785468093	1	1	0	8	7	5.882352941176471	5.147058823529412	0	100
KMT2C	KDM6A	0	8	6	122	0	-1	0,21.3789682410577	1	1	0	8	6	5.882352941176471	4.411764705882353	0	100
KMT2C	PTCH1	0	8	5	123	0	-1	0,25.936458856204	0.9999999999999999	1	-4.8216373327664354e-17	8	5	5.882352941176471	3.676470588235294	0	100
KMT2C	SMARCA4	0	8	5	123	0	-1	0,25.936458856204	0.9999999999999999	1	-4.8216373327664354e-17	8	5	5.882352941176471	3.676470588235294	0	100
TP53	KDM6A	0	7	6	123	0	-1	0,24.6757798698744	1	1	0	7	6	5.147058823529412	4.411764705882353	0	100
TP53	PTCH1	1	6	4	125	5.208333333333333	1	0.501985342693641,54.0389007486747	0.23531792206992067	0.7701313813197405	0.6283449952223423	7	5	5.147058823529412	3.676470588235294	9.090909090909092	90.9090909090909
TP53	SMARCA4	0	7	5	124	0	-1	0,29.9322992251766	1	1	0	7	5	5.147058823529412	3.676470588235294	0	100
KDM6A	PTCH1	0	6	5	125	0	-1	0,35.274418173584	0.9999999999999999	1	-4.8216373327664354e-17	6	5	4.411764705882353	3.676470588235294	0	100
KDM6A	SMARCA4	0	6	5	125	0	-1	0,35.274418173584	0.9999999999999999	1	-4.8216373327664354e-17	6	5	4.411764705882353	3.676470588235294	0	100
PTCH1	SMARCA4	0	5	5	126	0	-1	0,42.7753378001231	1	1	0	5	5	3.676470588235294	3.676470588235294	0	100
