gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	p	q	cooccur_score
HLA-C	BRAF	1	9	4	25	0.6944444444444444	-1	1	1	0
HLA-C	TAS2R19	0	10	4	25	0	-1	0.5557500820658715	1	-0.255120464498063
HLA-C	KIR2DL4	0	10	4	25	0	-1	0.5557500820658715	1	-0.255120464498063
HLA-C	HLA-DQB2	2	8	2	27	3.375	1	0.2669876354086879	1	0.5735088509879315
HLA-C	MUC6	0	10	4	25	0	-1	0.5557500820658715	1	-0.255120464498063
HLA-C	HLA-B	2	8	2	27	3.375	1	0.2669876354086879	1	0.5735088509879315
HLA-C	KIR3DL3	1	9	3	26	0.9629629629629629	-1	1	1	0
HLA-C	SERPINA1	0	10	3	26	0	-1	0.5557500820658714	1	-0.25512046449806314
HLA-C	HLA-A	0	10	3	26	0	-1	0.5557500820658714	1	-0.25512046449806314
HLA-C	KIR2DL3	2	8	1	28	7	1	0.15592515592515593	1	0.8070838129821317
HLA-C	LILRA1	2	8	1	28	7	1	0.15592515592515593	1	0.8070838129821317
HLA-C	KIR2DS4	2	8	0	29	Inf	1	0.06072874493927121	1	1.216605694203985
HLA-C	KIR2DL1	1	9	1	28	3.111111111111111	1	0.45209176788124145	1	0.34477340094248304
HLA-C	TAS2R43	0	10	2	27	0	-1	1	1	0
HLA-C	HLA-DQA1	0	10	2	27	0	-1	1	1	0
HLA-C	MUC3A	2	8	0	29	Inf	1	0.06072874493927121	1	1.216605694203985
HLA-C	SOX1	0	10	2	27	0	-1	1	1	0
HLA-C	SOX21	0	10	2	27	0	-1	1	1	0
HLA-C	KIR3DL1	0	10	1	28	0	-1	1	1	0
HLA-C	HLA-DQB1	0	10	1	28	0	-1	1	1	0
HLA-C	TAS2R31	1	9	0	29	Inf	1	0.2564102564102565	1	0.5910646070264991
HLA-C	HLA-DQA2	0	10	1	28	0	-1	1	1	0
HLA-C	PRSS1	0	10	1	28	0	-1	1	1	0
HLA-C	TAS2R30	0	10	1	28	0	-1	1	1	0
HLA-C	TP53	1	9	0	29	Inf	1	0.2564102564102565	1	0.5910646070264991
HLA-C	ADAMTS12	0	10	1	28	0	-1	1	1	0
HLA-C	ADAMTSL3	0	10	1	28	0	-1	1	1	0
HLA-C	ADCK5	0	10	1	28	0	-1	1	1	0
HLA-C	AKAP2	0	10	1	28	0	-1	1	1	0
HLA-C	ANKLE2	0	10	1	28	0	-1	1	1	0
HLA-C	ATRX	1	9	0	29	Inf	1	0.2564102564102565	1	0.5910646070264991
HLA-C	BCOR	0	10	1	28	0	-1	1	1	0
HLA-C	BUB1B	0	10	1	28	0	-1	1	1	0
HLA-C	C4A	0	10	1	28	0	-1	1	1	0
HLA-C	CCDC136	0	10	1	28	0	-1	1	1	0
HLA-C	CCDC57	0	10	1	28	0	-1	1	1	0
HLA-C	CDKN2A	0	10	1	28	0	-1	1	1	0
HLA-C	CENPB	0	10	1	28	0	-1	1	1	0
HLA-C	CES3	0	10	1	28	0	-1	1	1	0
HLA-C	CNTN1	0	10	1	28	0	-1	1	1	0
HLA-C	COL7A1	0	10	1	28	0	-1	1	1	0
HLA-C	CTNNA2	0	10	1	28	0	-1	1	1	0
HLA-C	DCAF12	0	10	1	28	0	-1	1	1	0
HLA-C	DCST2	0	10	1	28	0	-1	1	1	0
HLA-C	DOPEY1	0	10	1	28	0	-1	1	1	0
HLA-C	DSPP	1	9	0	29	Inf	1	0.2564102564102565	1	0.5910646070264991
HLA-C	EBLN2	0	10	1	28	0	-1	1	1	0
HLA-C	EHMT1	1	9	0	29	Inf	1	0.2564102564102565	1	0.5910646070264991
HLA-C	EYA1	0	10	1	28	0	-1	1	1	0
BRAF	TAS2R19	0	5	4	30	0	-1	1	1	0
BRAF	KIR2DL4	1	4	3	31	2.5833333333333335	1	0.4361649098491204	1	0.3603492770239369
BRAF	HLA-DQB2	0	5	4	30	0	-1	1	1	0
BRAF	MUC6	0	5	4	30	0	-1	1	1	0
BRAF	HLA-B	1	4	3	31	2.5833333333333335	1	0.4361649098491204	1	0.3603492770239369
BRAF	KIR3DL3	0	5	4	30	0	-1	1	1	0
BRAF	SERPINA1	1	4	2	32	4	1	0.34522376627639795	1	0.4618993137465075
BRAF	HLA-A	1	4	2	32	4	1	0.34522376627639795	1	0.4618993137465075
BRAF	KIR2DL3	0	5	3	31	0	-1	1	1	0
BRAF	LILRA1	0	5	3	31	0	-1	1	1	0
BRAF	KIR2DS4	1	4	1	33	8.25	1	0.2429149797570849	1	0.6145457028760223
BRAF	KIR2DL1	1	4	1	33	8.25	1	0.2429149797570849	1	0.6145457028760223
BRAF	TAS2R43	0	5	2	32	0	-1	1	1	0
BRAF	HLA-DQA1	0	5	2	32	0	-1	1	1	0
BRAF	MUC3A	0	5	2	32	0	-1	1	1	0
BRAF	SOX1	1	4	1	33	8.25	1	0.2429149797570849	1	0.6145457028760223
BRAF	SOX21	1	4	1	33	8.25	1	0.2429149797570849	1	0.6145457028760223
BRAF	KIR3DL1	0	5	1	33	0	-1	1	1	0
BRAF	HLA-DQB1	0	5	1	33	0	-1	1	1	0
BRAF	TAS2R31	0	5	1	33	0	-1	1	1	0
BRAF	HLA-DQA2	0	5	1	33	0	-1	1	1	0
BRAF	PRSS1	0	5	1	33	0	-1	1	1	0
BRAF	TAS2R30	1	4	0	34	Inf	1	0.12820512820512822	1	0.8920946026904804
BRAF	TP53	0	5	1	33	0	-1	1	1	0
BRAF	ADAMTS12	0	5	1	33	0	-1	1	1	0
BRAF	ADAMTSL3	0	5	1	33	0	-1	1	1	0
BRAF	ADCK5	0	5	1	33	0	-1	1	1	0
BRAF	AKAP2	0	5	1	33	0	-1	1	1	0
BRAF	ANKLE2	0	5	1	33	0	-1	1	1	0
BRAF	ATRX	0	5	1	33	0	-1	1	1	0
BRAF	BCOR	0	5	1	33	0	-1	1	1	0
BRAF	BUB1B	0	5	1	33	0	-1	1	1	0
BRAF	C4A	0	5	1	33	0	-1	1	1	0
BRAF	CCDC136	0	5	1	33	0	-1	1	1	0
BRAF	CCDC57	0	5	1	33	0	-1	1	1	0
BRAF	CDKN2A	0	5	1	33	0	-1	1	1	0
BRAF	CENPB	1	4	0	34	Inf	1	0.12820512820512822	1	0.8920946026904804
BRAF	CES3	0	5	1	33	0	-1	1	1	0
BRAF	CNTN1	0	5	1	33	0	-1	1	1	0
BRAF	COL7A1	0	5	1	33	0	-1	1	1	0
BRAF	CTNNA2	1	4	0	34	Inf	1	0.12820512820512822	1	0.8920946026904804
BRAF	DCAF12	0	5	1	33	0	-1	1	1	0
BRAF	DCST2	0	5	1	33	0	-1	1	1	0
BRAF	DOPEY1	0	5	1	33	0	-1	1	1	0
BRAF	DSPP	0	5	1	33	0	-1	1	1	0
BRAF	EBLN2	0	5	1	33	0	-1	1	1	0
BRAF	EHMT1	0	5	1	33	0	-1	1	1	0
BRAF	EYA1	0	5	1	33	0	-1	1	1	0
TAS2R19	KIR2DL4	0	4	4	31	0	-1	1	1	0
TAS2R19	HLA-DQB2	0	4	4	31	0	-1	1	1	0
TAS2R19	MUC6	1	3	3	32	3.5555555555555554	1	0.36341199499094234	1	0.439600742211242
TAS2R19	HLA-B	0	4	4	31	0	-1	1	1	0
TAS2R19	KIR3DL3	1	3	3	32	3.5555555555555554	1	0.36341199499094234	1	0.439600742211242
TAS2R19	SERPINA1	0	4	3	32	0	-1	1	1	0
TAS2R19	HLA-A	0	4	3	32	0	-1	1	1	0
TAS2R19	KIR2DL3	1	3	2	33	5.5	1	0.28383849436481007	1	0.5469287055785996
TAS2R19	LILRA1	0	4	3	32	0	-1	1	1	0
TAS2R19	KIR2DS4	0	4	2	33	0	-1	0.9999999999999999	1	-4.8216373327664354e-17
