gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	p	q	cooccur_score
CTNNB1	KMT2D	1	10	5	77	1.54	1	0.5406180563216036	1	0.2671094532176127
CTNNB1	DDX3X	4	7	2	80	22.857142857142858	1	0.001488071787644728	0.031249507540539286	2.8273761170253944
CTNNB1	KDM6A	0	11	6	76	0	-1	1	1	0
CTNNB1	PTCH1	0	11	5	77	0	-1	0.9999999999999999	1	-4.8216373327664354e-17
CTNNB1	KMT2C	0	11	5	77	0	-1	0.9999999999999999	1	-4.8216373327664354e-17
CTNNB1	TP53	3	8	2	80	15	1	0.011073172852015216	0.11626831494615977	1.9557279207032587
KMT2D	DDX3X	1	5	5	82	3.28	1	0.3375082049026611	0.8859590378694854	0.4717156649051428
KMT2D	KDM6A	0	6	6	81	0	-1	1	1	0
KMT2D	PTCH1	0	6	5	82	0	-1	1	1	0
KMT2D	KMT2C	1	5	4	83	4.15	1	0.28903319550529477	0.8670995865158844	0.5390522755933965
KMT2D	TP53	1	5	4	83	4.15	1	0.28903319550529477	0.8670995865158844	0.5390522755933965
DDX3X	KDM6A	0	6	6	81	0	-1	1	1	0
DDX3X	PTCH1	1	5	4	83	4.15	1	0.28903319550529477	0.8670995865158844	0.5390522755933965
DDX3X	KMT2C	0	6	5	82	0	-1	1	1	0
DDX3X	TP53	1	5	4	83	4.15	1	0.28903319550529477	0.8670995865158844	0.5390522755933965
KDM6A	PTCH1	0	6	5	82	0	-1	1	1	0
KDM6A	KMT2C	0	6	5	82	0	-1	1	1	0
KDM6A	TP53	0	6	5	82	0	-1	1	1	0
PTCH1	KMT2C	0	5	5	83	0	-1	1	1	0
PTCH1	TP53	1	4	4	84	5.25	1	0.24620386993332452	0.8670995865158844	0.6087051249324068
KMT2C	TP53	0	5	5	83	0	-1	1	1	0
