gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	odds_ratio_ci	p	q	cooccur_score	n_mutated_gene1	n_mutated_gene2	perc_mutated_gene1	perc_mutated_gene2	perc_cooccur	perc_mutexcl
TP53	H3F3A	25	21	15	26	2.0634920634920637	1	0.872756330807519,4.87879531295409	0.13181663271914548	0.16261367077638794	0.8800297866889617	46	40	52.87356321839081	45.97701149425287	40.98360655737705	59.01639344262295
TP53	ATRX	14	32	7	34	2.125	1	0.760360425848295,5.9387954008287	0.20973133816704118	0.24782422626076409	0.6783366721757523	46	21	52.87356321839081	24.137931034482758	26.41509433962264	73.58490566037736
TP53	NF1	10	36	6	35	1.6203703703703705	1	0.531899260810322,4.93627333336437	0.4221020101182136	0.4488497937454962	0.3745825796599262	46	16	52.87356321839081	18.39080459770115	19.23076923076923	80.76923076923077
TP53	EGFR	6	40	4	37	1.3875	1	0.362643108321355,5.30868009297458	0.7432381334205282	0.7670317720641509	0.12887201603641132	46	10	52.87356321839081	11.494252873563218	12	88
TP53	PPM1D	2	44	8	33	0.1875	-1	0.0373324892879143,0.941706558297499	0.04133625288215301	0.05874351482672557	-1.383668894577653	46	10	52.87356321839081	11.494252873563218	3.7037037037037037	96.29629629629629
TP53	TTN	7	39	2	39	3.5	1	0.683716889676925,17.9167725486326	0.16319327027436134	0.1965700649814087	0.7872977545464421	46	9	52.87356321839081	10.344827586206897	14.583333333333334	85.41666666666667
TP53	OBSCN	6	40	3	38	1.9	1	0.443322091358636,8.14306363334283	0.4909373803530552	0.5135846209816755	0.30897389912235507	46	9	52.87356321839081	10.344827586206897	12.244897959183673	87.75510204081633
TP53	MUC16	6	40	3	38	1.9	1	0.443322091358636,8.14306363334283	0.4909373803530552	0.5135846209816755	0.30897389912235507	46	9	52.87356321839081	10.344827586206897	12.244897959183673	87.75510204081633
TP53	DNAH5	6	40	2	39	2.925	1	0.556154970489409,15.3835269915347	0.27244130696725927	0.31754576692187686	0.5647270449680986	46	8	52.87356321839081	9.195402298850574	12.5	87.5
TP53	APOB	6	40	2	39	2.925	1	0.556154970489409,15.3835269915347	0.27244130696725927	0.31754576692187686	0.5647270449680986	46	8	52.87356321839081	9.195402298850574	12.5	87.5
TP53	PTPN11	4	42	4	37	0.8809523809523809	-1	0.2056804282512,3.77321801643586	1	1	0	46	8	52.87356321839081	9.195402298850574	8	92
TP53	PIK3CA	4	42	4	37	0.8809523809523809	-1	0.2056804282512,3.77321801643586	1	1	0	46	8	52.87356321839081	9.195402298850574	8	92
TP53	RYR1	5	41	2	39	2.3780487804878048	1	0.43554164368256,12.9840994182894	0.43922110442809026	0.46584056530251994	0.35731680035109	46	7	52.87356321839081	8.045977011494253	10.416666666666666	89.58333333333333
TP53	DNAH8	6	40	1	40	6	1	0.690615696023607,52.1273990835699	0.11412620622591309	0.1425123370303196	0.9426146192759177	46	7	52.87356321839081	8.045977011494253	12.76595744680851	87.23404255319149
TP53	TNC	4	42	3	38	1.2063492063492063	1	0.253506035501797,5.74060654918429	1	1	-0	46	7	52.87356321839081	8.045977011494253	8.16326530612245	91.83673469387755
