gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	odds_ratio_ci	p	q	cooccur_score	n_mutated_gene1	n_mutated_gene2	perc_mutated_gene1	perc_mutated_gene2	perc_cooccur	perc_mutexcl
TP53	BRAF	2	56	48	562	0.4181547619047619	-1	0.0989807312425123,1.76653983769043	0.30013742327910453	0.36656863760409075	-0.52267985025887	58	50	8.682634730538922	7.485029940119761	1.8867924528301887	98.11320754716981
TP53	H3F3A	25	33	15	595	30.050505050505052	1	14.4841953598245,62.3460835315171	1.914125715725644e-19	2.344804001763914e-16	18.718029542080092	58	40	8.682634730538922	5.9880239520958085	34.24657534246575	65.75342465753425
TP53	CTNNB1	6	52	30	580	2.230769230769231	1	0.88783620428731,5.60501062799233	0.1166143399257542	0.1556128174390511	0.9332480416207376	58	36	8.682634730538922	5.389221556886228	6.818181818181818	93.18181818181819
TP53	NF1	10	48	15	595	8.26388888888889	1	3.52328980612476,19.3829810562802	1.329850341190577e-5	7.404848490720259e-5	4.876197230951881	58	25	8.682634730538922	3.7425149700598803	13.698630136986301	86.3013698630137
TP53	ATRX	15	43	9	601	23.294573643410853	1	9.638740710919,56.2975161904271	1.4233254774372023e-11	8.717868549302863e-9	10.846695776731	58	24	8.682634730538922	3.592814371257485	22.388059701492537	77.61194029850746
TP53	FGFR1	3	55	13	597	2.504895104895105	1	0.692684700369613,9.05823310833835	0.15477876141761945	0.2002173768425077	0.8102886330067598	58	16	8.682634730538922	2.395209580838323	4.225352112676056	95.77464788732394
TP53	NF2	1	57	15	595	0.695906432748538	-1	0.0902673289175061,5.36501709919185	1	1	0	58	16	8.682634730538922	2.395209580838323	1.36986301369863	98.63013698630137
TP53	PIK3CA	5	53	11	599	5.137221269296741	1	1.72062483948881,15.3380572940906	0.0086166059617643	0.013834000397328003	2.064663766929584	58	16	8.682634730538922	2.395209580838323	7.246376811594203	92.7536231884058
TP53	KMT2D	5	53	9	601	6.29979035639413	1	2.03762066008437,19.4773047368263	0.004527348517130828	0.008084550923447908	2.3441560720519585	58	14	8.682634730538922	2.095808383233533	7.462686567164179	92.53731343283582
TP53	BCOR	1	57	13	597	0.805668016194332	-1	0.103504439004914,6.27123781896634	1	1	0	58	14	8.682634730538922	2.095808383233533	1.408450704225352	98.59154929577464
TP53	SMARCA4	4	54	8	602	5.574074074074074	1	1.62580849483651,19.1106774764325	0.01496367691290294	0.02205836849374982	1.8249616774090247	58	12	8.682634730538922	1.7964071856287425	6.0606060606060606	93.93939393939394
TP53	KMT2C	4	54	8	602	5.574074074074074	1	1.62580849483651,19.1106774764325	0.01496367691290294	0.02205836849374982	1.8249616774090247	58	12	8.682634730538922	1.7964071856287425	6.0606060606060606	93.93939393939394
TP53	SETD2	5	53	7	603	8.126684636118599	1	2.4933811517391,26.4873275106223	0.002053845487051039	0.004006306881588413	2.6874322319389403	58	12	8.682634730538922	1.7964071856287425	7.6923076923076925	92.3076923076923
TP53	PDGFRA	5	53	6	604	9.49685534591195	1	2.8048732581218,32.1548437884034	0.0012831092825225634	0.0025767358542461314	2.891736353153255	58	11	8.682634730538922	1.6467065868263473	7.8125	92.1875
TP53	PTPN11	4	54	7	603	6.380952380952381	1	1.81062116187886,22.4876159327171	0.010660399770952303	0.016303357951830924	1.972226508718154	58	11	8.682634730538922	1.6467065868263473	6.153846153846154	93.84615384615384
TP53	DDX3X	4	54	7	603	6.380952380952381	1	1.81062116187886,22.4876159327171	0.010660399770952303	0.016303357951830924	1.972226508718154	58	11	8.682634730538922	1.6467065868263473	6.153846153846154	93.84615384615384
TP53	RYR2	6	52	4	606	17.48076923076923	1	4.78082300562491,63.9172988709013	5.331114211824288e-5	2.0032561072039117e-4	4.273182013210596	58	10	8.682634730538922	1.4970059880239521	9.67741935483871	90.3225806451613
TP53	ATM	5	53	5	605	11.415094339622641	1	3.20247531314651,40.6886442645073	7.496029904355067e-4	0.001543300274426043	3.1251686895601813	58	10	8.682634730538922	1.4970059880239521	7.936507936507937	92.06349206349206
TP53	DNAH14	6	52	4	606	17.48076923076923	1	4.78082300562491,63.9172988709013	5.331114211824288e-5	2.0032561072039117e-4	4.273182013210596	58	10	8.682634730538922	1.4970059880239521	9.67741935483871	90.3225806451613
TP53	EGFR	6	52	4	606	17.48076923076923	1	4.78082300562491,63.9172988709013	5.331114211824288e-5	2.0032561072039117e-4	4.273182013210596	58	10	8.682634730538922	1.4970059880239521	9.67741935483871	90.3225806451613
TP53	LRP1B	4	54	6	604	7.45679012345679	1	2.04149816345227,27.2367224917088	0.007250475956977844	0.01192043196234671	2.1396334832628865	58	10	8.682634730538922	1.4970059880239521	6.25	93.75
TP53	PTEN	5	53	5	605	11.415094339622641	1	3.20247531314651,40.6886442645073	7.496029904355067e-4	0.001543300274426043	3.1251686895601813	58	10	8.682634730538922	1.4970059880239521	7.936507936507937	92.06349206349206
TP53	PPM1D	2	56	8	602	2.6875	1	0.557153911030892,12.9634847875985	0.21277394656072532	0.26461734470750103	0.6720815509898489	58	10	8.682634730538922	1.4970059880239521	3.0303030303030303	96.96969696969697
TP53	FSIP2	4	54	5	605	8.962962962962964	1	2.33765327594464,34.3655348302167	0.0046501267703609175	0.008267641935692488	2.3325352073427874	58	9	8.682634730538922	1.347305389221557	6.349206349206349	93.65079365079364
TP53	FBN2	4	54	5	605	8.962962962962964	1	2.33765327594464,34.3655348302167	0.0046501267703609175	0.008267641935692488	2.3325352073427874	58	9	8.682634730538922	1.347305389221557	6.349206349206349	93.65079365079364
TP53	PHLPP1	3	55	6	604	5.490909090909091	1	1.33634551546047,22.5615922647363	0.03580703793364387	0.050360070572576056	1.4460316036538288	58	9	8.682634730538922	1.347305389221557	4.6875	95.3125
