gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	p	cooccur_score
HLA-DRB1	KIR3DL1	59	140	138	450	1.374223602484472	1	0.08863648743567293	1.0523874628765981
HLA-DRB1	KIR2DL1	60	139	134	454	1.462471813593901	1	0.045424292054887384	1.3427118325185912
HLA-DRB1	KIR2DL3	37	162	124	464	0.8546395858223815	-1	0.47823773848216855	-0.3203561560163979
HLA-DRB1	FRG2	52	147	106	482	1.6085226543447568	1	0.018236750197277992	1.7390525507189896
HLA-DRB1	PRSS1	43	156	110	478	1.1977855477855477	1	0.4071008665457014	0.3902979731902004
HLA-DRB1	LINC01658	40	159	107	481	1.1308999000764122	1	0.598855910337976	0.22267765986916074
HLA-DRB1	AC007402.1	42	157	95	493	1.388266845457593	1	0.12962771735936204	0.8873021264809605
HLA-DRB1	LILRA1	40	159	96	492	1.2893081761006289	1	0.23352334745828718	0.6316696925479506
HLA-DRB1	HLA-DQA2	36	163	93	495	1.1755392835939047	1	0.4406461994060239	0.355909971335825
HLA-DRB1	KIR3DL2	34	165	95	493	1.0693460925039873	1	0.7409683616366329	0.13020033542144144
HLA-DRB1	HLA-C	31	168	95	493	0.9575814536340852	-1	0.9111853218579895	-0.04039328485457445
HLA-DRB1	AC109466.1	37	162	69	519	1.7179280730005368	1	0.016474813445197935	1.7831794944990407
HLA-DRB1	MUC6	25	174	77	511	0.9535005224660397	-1	0.9032775011714443	-0.044178807036237
HLA-DRB1	HLA-B	26	173	75	513	1.0279768786127168	1	0.902797921506304	0.044409449460671185
HLA-DRB1	HLA-A	29	170	70	518	1.2623529411764707	1	0.3246245041943462	0.4886187006689912
HLA-DRB1	HLA-DQB2	28	171	69	519	1.23162979913552	1	0.38449066020699024	0.41511420532895166
HLA-DRB1	HLA-DRB5	38	161	59	529	2.116222760290557	1	0.0016458823132316281	2.7836012217005153
HLA-DRB1	PTCHD1-AS	30	169	66	522	1.4039806347498656	1	0.16796098978188795	0.7747915747607849
HLA-DRB1	HLA-DQA1	37	162	53	535	2.305497321220592	1	4.5234437657831907e-4	3.344530804344047
HLA-DRB1	MIR4300HG	30	169	56	532	1.6863905325443787	1	0.03534492193564804	1.4516729732035516
HLA-DRB1	DISC1FP1	26	173	59	529	1.3475066131086508	1	0.23623511152840043	0.6266555529131386
HLA-DRB1	LILRB2	23	176	61	527	1.12900521609538	1	0.6903356848006824	0.16093967650092525
HLA-DRB1	LINC00871	25	174	58	530	1.3129211256440745	1	0.2872186615541771	0.5417873459523509
HLA-DRB1	PKN2-AS1	24	175	58	530	1.2532019704433497	1	0.42043551699336346	0.37630060334147886
HLA-DRB1	DUX4L4	20	179	61	527	0.9652898617089477	-1	1	0
HLA-DRB1	OFCC1	29	170	50	538	1.8355294117647059	1	0.01965044198921976	1.7066276767735205
HLA-DRB1	LINC00276	22	177	57	531	1.1578947368421053	1	0.5863033796343093	0.231877602400055
HLA-DRB1	SGO1-AS1	24	175	55	533	1.329038961038961	1	0.27660622575990285	0.5581380491625615
HLA-DRB1	KIR3DL3	16	183	57	531	0.814495254529767	-1	0.5724126215389632	-0.24229079873425283
HLA-DRB1	HLA-DRB6	26	173	46	542	1.7707966825835637	1	0.032543010629661216	1.4875422719471894
HLA-DRB1	FRG1-DT	15	184	55	533	0.7900197628458498	-1	0.4751114896848644	-0.32320446685210763
HLA-DRB1	TAS2R30	17	182	52	536	0.9628064243448858	-1	1	0
HLA-DRB1	SOX2-OT	23	176	45	543	1.5768939393939394	1	0.1075481816635205	0.9683969279094801
HLA-DRB1	RNF219-AS1	22	177	46	542	1.4645050356177842	1	0.18816378958378618	0.7254639489056459
HLA-DRB1	TAS2R19	21	178	46	542	1.3900830483634588	1	0.2411073816665486	0.6177894931979313
HLA-DRB1	TEX41	16	183	51	537	0.9206043072966892	-1	0.8835309566878919	-0.05377822931149071
HLA-DRB1	AC007389.1	20	179	45	543	1.3482309124767224	1	0.29824962534424104	0.5254200932101132
HLA-DRB1	AL390334.1	17	182	48	540	1.0508241758241759	1	0.8818473945376569	0.05460656389816382
HLA-DRB1	AL357507.1	17	182	47	541	1.0751695113397242	1	0.766466611439802	0.11550675898740165
HLA-DRB1	DAB1	17	182	47	541	1.0751695113397242	1	0.766466611439802	0.11550675898740165
HLA-DRB1	MIR99AHG	17	182	46	542	1.1005733397037745	1	0.7629967985316789	0.11747728430323591
HLA-DRB1	LINC01470	18	181	45	543	1.2	1	0.546444696696705	0.26245378455560664
HLA-DRB1	AC016205.1	20	179	41	547	1.4906663033110779	1	0.16867527511341762	0.77294857282737806
HLA-DRB1	LINC00907	19	180	42	546	1.3722222222222222	1	0.28414872062659785	0.5464542950162584
HLA-DRB1	MIR3681HG	14	185	46	542	0.8916568742655699	-1	0.8772055252867464	-0.056898641479252894
HLA-DRB1	DSCR9	17	182	42	546	1.2142857142857142	1	0.5341908002260147	0.2723035956210492
HLA-DRB1	OR9G1	20	179	38	550	1.617171420170538	1	0.1153349182032363	0.9380391880466178
HLA-DRB1	AL022068.1	17	182	41	547	1.246180648619673	1	0.4376931435976821	0.35883025649635564
HLA-DRB1	AC079160.1	20	179	38	550	1.617171420170538	1	0.1153349182032363	0.9380391880466178
KIR3DL1	KIR2DL1	82	115	112	478	3.043167701863354	1	9.688974821374252e-10	9.013722172688542
KIR3DL1	KIR2DL3	62	135	99	491	2.2777403666292555	1	2.4277463707642212e-5	4.6147966864316565
KIR3DL1	FRG2	43	154	115	475	1.1533032185206098	1	0.47379971471335003	0.3244052051127369
KIR3DL1	PRSS1	45	152	108	482	1.3212719298245614	1	0.17668974283492242	0.7527886613562264
KIR3DL1	LINC01658	44	153	103	487	1.3597309473951393	1	0.13955546896419616	0.8552531395090481
KIR3DL1	AC007402.1	39	158	98	492	1.2392146732110565	1	0.3289462759152082	0.48287502599769844
KIR3DL1	LILRA1	34	163	102	488	0.9979550102249489	-1	1	0
KIR3DL1	HLA-DQA2	26	171	103	487	0.7189008119003009	-1	0.18268810181805056	-0.7382897366268334
KIR3DL1	KIR3DL2	48	149	81	509	2.0243599304001987	1	7.965548680183904e-4	3.09878430390941
KIR3DL1	HLA-C	33	164	93	497	1.075334382376082	1	0.7373365190664974	0.13233425567197676
KIR3DL1	AC109466.1	35	162	71	519	1.5792905581637977	1	0.05312824688607763	1.2746745146053053
KIR3DL1	MUC6	25	172	77	513	0.9683630323165207	-1	0.9999999999999999	-4.821637332766436e-17
KIR3DL1	HLA-B	23	174	78	512	0.8676687297376953	-1	0.6242296734439209	-0.20465559051424606
KIR3DL1	HLA-A	31	166	68	522	1.433557760453579	1	0.13642136631802623	0.8651176051390753
KIR3DL1	HLA-DQB2	23	174	74	516	0.9217148182665424	-1	0.8033304594274453	-0.09510576582574996
KIR3DL1	HLA-DRB5	26	171	71	519	1.1114405732641464	1	0.7073806477780623	0.15034682560433665
KIR3DL1	PTCHD1-AS	29	168	67	523	1.3474591329068941	1	0.2108302008045489	0.676067177599422
