Kids_First_Biospecimen_ID,gene,expression,cell_type,score,molecular_subtype,subtype_count
BS_09Z7TC35,CD274,0.13750352374993502,T cell CD8+,0.0042143760520476,"MB, Group3 (N = 14)",14
BS_1AYRM596,CD274,0.08406426478847455,T cell CD8+,0.0034024270876215723,"MB, Group4 (N = 50)",50
BS_1QXEC43H,CD274,0.2509615735332188,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_2Z1MKS84,CD274,0.5655971758542251,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_3BDAG9YN,CD274,0.2750070474998698,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_3F5PR9GS,CD274,0.09761079662642234,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_3MYEMXPQ,CD274,0.4222330006830478,T cell CD8+,0.0034475263819093824,"MB, Group4 (N = 50)",50
BS_3NWQXPQV,CD274,0.2630344058337938,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_3V3KE3VT,CD274,0.13750352374993502,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_44A3ES23,CD274,0.21412480535284734,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_4CP4T22V,CD274,0.07038932789139801,T cell CD8+,0.0025038144391792637,"MB, Group4 (N = 50)",50
BS_4D9DD103,CD274,1.6599245584023783,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_4PH1MBGR,CD274,0.16349873228287956,T cell CD8+,0.0022006246322701607,"MB, Group4 (N = 50)",50
BS_4W68NV3M,CD274,0.34482849699744117,T cell CD8+,0.0013729327273081578,"MB, Group4 (N = 50)",50
BS_5PJCHF6V,CD274,0.23878685958711648,T cell CD8+,0.0022319434427649477,"MB, Group4 (N = 50)",50
BS_5VQP0E6K,CD274,1.0356239097307212,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_61E80SD6,CD274,0.5945485495503542,T cell CD8+,2.5627841142487315e-4,"MB, Group4 (N = 50)",50
BS_77317DY4,CD274,1.4059923596758368,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_7C40TRCY,CD274,0.1505596765753814,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_7XQRH69M,CD274,0.2750070474998698,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_81SP2HX4,CD274,0.014355292977070055,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_8GW1TMV2,CD274,0.5753123306874368,T cell CD8+,0.0025378931556186346,"MB, SHH (N = 31)",31
BS_9M5XJ10G,CD274,0.16349873228287956,T cell CD8+,0.0019180194018546808,"MB, Group4 (N = 50)",50
BS_9NJHQE9F,CD274,0.13750352374993502,T cell CD8+,0.004382816850466889,"MB, Group3 (N = 14)",14
BS_9NZ2D6AD,CD274,0.08406426478847455,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_9V633J1X,CD274,0.4329594072761063,T cell CD8+,0.003127726812245254,"MB, Group3 (N = 14)",14
BS_A87NPZAP,CD274,0.16349873228287956,T cell CD8+,3.7062266660083275e-5,"MB, Group4 (N = 50)",50
BS_AHEFXG7W,CD274,0.20163386116965043,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_AM70R8RG,CD274,0.08406426478847455,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_AMZ70B6F,CD274,0.16349873228287956,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_BA6AZWB3,CD274,0.84799690655495,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_BPWEFR89,CD274,0.20163386116965043,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_BSV07M7Z,CD274,0.02856915219677092,T cell CD8+,0.0014750269773202603,"MB, Group4 (N = 50)",50
BS_BVSW4GTG,CD274,0.2750070474998698,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_CHDGRYHJ,CD274,0.2630344058337938,T cell CD8+,0.0028270996073974345,"MB, Group3 (N = 14)",14
BS_D144EJRQ,CD274,0.28688114778816154,T cell CD8+,0.002929629623505492,"MB, Group3 (N = 14)",14
