harmonized_diagnosis	cancer_group
Adenoma	Adenoma
Arteriovenous malformation	Arteriovenous malformation
Atypical choroid plexus papilloma	Atypical choroid plexus papilloma
Atypical Teratoid Rhabdoid Tumor (ATRT)	Atypical Teratoid Rhabdoid Tumor
Cavernoma	Cavernoma
Chordoma, poorly differentiated	Chordoma
Chordoma, conventional	Chordoma
Choroid plexus carcinoma	Choroid plexus carcinoma
Choroid plexus cyst	Choroid plexus cyst
Choroid plexus papilloma	Choroid plexus papilloma
CNS Burkitt's lymphoma	CNS Burkitt's lymphoma
CNS Embryonal tumor, NOS	CNS Embryonal tumor
CNS Embryonal tumor, HGNET-MN1	CNS Embryonal tumor
CNS neuroblastoma	CNS neuroblastoma
Adamantinomatous craniopharyngioma	Craniopharyngioma
Craniopharyngioma	Craniopharyngioma
Desmoplastic infantile astrocytoma and ganglioglioma, RTK	Desmoplastic infantile astrocytoma and ganglioglioma
Desmoplastic infantile astrocytoma and ganglioglioma, BRAF V600E	Desmoplastic infantile astrocytoma and ganglioglioma
Diffuse fibrillary astrocytoma	Diffuse fibrillary astrocytoma
Brainstem glioma- Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma
Diffuse leptomeningeal glioneuronal tumor,  KIAA1549-BRAF	Diffuse leptomeningeal glioneuronal tumor
Diffuse midline glioma, H3 K28-mutant	Diffuse midline glioma
Dysembryoplastic neuroepithelial tumor (DNET)	Dysembryoplastic neuroepithelial tumor
Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	Dysembryoplastic neuroepithelial tumor
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma	Dysembryoplastic neuroepithelial tumor
Dysplasia/Gliosis;Glial-neuronal tumor NOS	Dysplasia Gliosis-Glial-neuronal tumor NOS
Embryonal tumor with multilayer rosettes, NOS	Embryonal tumor with multilayer rosettes
Embryonal tumor with multilayer rosettes, C19MC-altered	Embryonal tumor with multilayer rosettes
CNS Embryonal tumor, NOS	Embryonal tumor with multilayer rosettes
Ependymoma	Ependymoma
Ependymoma, Supratentorial, RELA fusion positive	Ependymoma
Ependymoma, Posterior Fossa, Type A	Ependymoma
Ependymoma, Supratentorial, YAP1 fusion positive	Ependymoma
Ependymoma, H3 K28-mutant	Ependymoma
Epilepsy, chronic rasmussen encephalitis	Epilepsy
Ewing sarcoma	Ewing sarcoma
Fibromyxoid lesion	Fibromyxoid lesion
Ganglioglioma, KIAA1549-BRAF	Ganglioglioma
Ganglioglioma, BRAF V600E	Ganglioglioma
Ganglioglioma, wildtype	Ganglioglioma
Ganglioglioma, IDH	Ganglioglioma
Ganglioglioma, RTK	Ganglioglioma
Ganglioglioma, other MAPK	Ganglioglioma
Ganglioglioma, other MAPK, IDH	Ganglioglioma
Ganglioglioma, H3	Ganglioglioma
Ganglioglioma	Ganglioglioma
Ganglioglioma, FGFR	Ganglioglioma
Ganglioglioma, MYB/MYBL1	Ganglioglioma
Ganglioglioma, BRAF V600E, CDKN2A/B	Ganglioglioma
Ganglioglioma, NF1-germline	Ganglioglioma
Ganglioglioma, NF1-somatic, BRAF V600E	Ganglioglioma
Ganglioneuroblastoma	Ganglioneuroblastoma
Ganglioneuroma	Ganglioneuroma
Germinoma	Germinoma
Germinoma;Teratoma	Germinoma-Teratoma
Glial-neuronal tumor NOS,  KIAA1549-BRAF	Glial-neuronal tumor NOS
Glial-neuronal tumor NOS	Glial-neuronal tumor NOS
Glial-neuronal tumor NOS,  other MAPK	Glial-neuronal tumor NOS
Hemangioblastoma	Hemangioblastoma
High-grade glioma/astrocytoma, H3 wildtype	High-grade glioma astrocytoma
High-grade glioma/astrocytoma, H3 G35-mutant	High-grade glioma astrocytoma
High-grade glioma/astrocytoma (WHO grade III/IV)	High-grade glioma astrocytoma
High-grade glioma/astrocytoma, IDH-mutant	High-grade glioma astrocytoma
Juvenile xanthogranuloma	Juvenile xanthogranuloma
Langerhans Cell histiocytosis	Langerhans Cell histiocytosis
Low-grade glioma/astrocytoma, other MAPK	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, wildtype	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, NF1-germline	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, KIAA1549-BRAF	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, IDH	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma (WHO grade I/II)	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, FGFR	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, BRAF V600E	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, MYB/MYBL1	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, KIAA1549-BRAF, other MAPK	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, RTK	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, NF1-germline, FGFR	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, NF1-somatic, NF1-germline, CDKN2A/B	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, NF1-somatic, FGFR	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, RTK, CDKN2A/B	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, NF1-germline, CDKN2A/B	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma, NF1-somatic	Low-grade glioma astrocytoma
Malignant peripheral nerve sheath tumor (MPNST)	Malignant peripheral nerve sheath tumor
Medulloblastoma	Medulloblastoma
Medulloblastoma, group 4	Medulloblastoma
Medulloblastoma, group 3	Medulloblastoma
Medulloblastoma, SHH-activated	Medulloblastoma
Medulloblastoma, WNT-activated	Medulloblastoma
Melanocytic tumor	Melanocytic tumor
Meningioma	Meningioma
Atypical meningioma	Meningioma
Clear cell meningioma	Meningioma
Meningothelial meningioma	Meningioma
Anaplastic (malignant) meningioma	Meningioma
Metastatic secondary tumors	Metastatic secondary tumors
Metastatic secondary tumors;Neuroblastoma	Metastatic secondary tumors-Neuroblastoma
Myofibroblastoma	Myofibroblastoma
Myxoid spindle cell tumor	Myxoid spindle cell tumor
Neuroblastoma	Neuroblastoma
Neurocytoma	Neurocytoma
Neurofibroma/Plexiform	Neurofibroma Plexiform
Neurofibroma/Plexiform;Other	Neurofibroma Plexiform
Oligodendroglioma	Oligodendroglioma
Pilocytic astrocytoma	Pilocytic astrocytoma
Pineoblastoma	Pineoblastoma
Pleomorphic xanthoastrocytoma	Pleomorphic xanthoastrocytoma
Pleomorphic xanthoastrocytoma, BRAF V600E	Pleomorphic xanthoastrocytoma
Reactive connective tissue	Reactive connective tissue
Rhabdomyosarcoma	Rhabdomyosarcoma
Rosai-Dorfman disease	Rosai-Dorfman disease
