cancer_group_pre_mod	cancer_group
Adenoma	Adenoma
Arteriovenous malformation	Arteriovenous malformation
Atypical choroid plexus papilloma	Atypical choroid plexus papilloma
Atypical Teratoid Rhabdoid Tumor (ATRT)	Atypical Teratoid Rhabdoid Tumor
Cavernoma	Cavernoma
Chordoma	Chordoma
Choroid plexus carcinoma	Choroid plexus carcinoma
Choroid plexus cyst	Choroid plexus cyst
Choroid plexus papilloma	Choroid plexus papilloma
CNS Burkitt's lymphoma	CNS Burkitt's lymphoma
CNS Embryonal tumor	CNS Embryonal tumor
CNS neuroblastoma	CNS neuroblastoma
Adamantinomatous craniopharyngioma	Craniopharyngioma
Craniopharyngioma	Craniopharyngioma
Desmoplastic infantile astrocytoma and ganglioglioma	Desmoplastic infantile astrocytoma and ganglioglioma
Diffuse fibrillary astrocytoma	Diffuse fibrillary astrocytoma
Brainstem glioma- Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma
Diffuse leptomeningeal glioneuronal tumor	Diffuse leptomeningeal glioneuronal tumor
Diffuse midline glioma	Diffuse midline glioma
Dysembryoplastic neuroepithelial tumor (DNET)	Dysembryoplastic neuroepithelial tumor
Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	Dysembryoplastic neuroepithelial tumor
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma	Dysembryoplastic neuroepithelial tumor
Dysplasia/Gliosis;Glial-neuronal tumor NOS	Dysplasia Gliosis-Glial-neuronal tumor NOS
Embryonal tumor with multilayer rosettes	Embryonal tumor with multilayer rosettes
CNS Embryonal tumor	Embryonal tumor with multilayer rosettes
Ependymoma	Ependymoma
Epilepsy	Epilepsy
Ewing sarcoma	Ewing sarcoma
Fibromyxoid lesion	Fibromyxoid lesion
Ganglioglioma	Ganglioglioma
Ganglioneuroblastoma	Ganglioneuroblastoma
Ganglioneuroma	Ganglioneuroma
Germinoma	Germinoma
Germinoma;Teratoma	Germinoma-Teratoma
Glial-neuronal tumor NOS	Glial-neuronal tumor NOS
Hemangioblastoma	Hemangioblastoma
High-grade glioma/astrocytoma	High-grade glioma astrocytoma
High-grade glioma/astrocytoma (WHO grade III/IV)	High-grade glioma astrocytoma
Juvenile xanthogranuloma	Juvenile xanthogranuloma
Langerhans Cell histiocytosis	Langerhans Cell histiocytosis
Low-grade glioma/astrocytoma	Low-grade glioma astrocytoma
Low-grade glioma/astrocytoma (WHO grade I/II)	Low-grade glioma astrocytoma
Malignant peripheral nerve sheath tumor (MPNST)	Malignant peripheral nerve sheath tumor
Medulloblastoma	Medulloblastoma
Melanocytic tumor	Melanocytic tumor
Meningioma	Meningioma
Atypical meningioma	Meningioma
Clear cell meningioma	Meningioma
Meningothelial meningioma	Meningioma
Anaplastic (malignant) meningioma	Meningioma
Metastatic secondary tumors	Metastatic secondary tumors
Metastatic secondary tumors;Neuroblastoma	Metastatic secondary tumors-Neuroblastoma
Myofibroblastoma	Myofibroblastoma
Myxoid spindle cell tumor	Myxoid spindle cell tumor
Neuroblastoma	Neuroblastoma
Neurocytoma	Neurocytoma
Neurofibroma/Plexiform	Neurofibroma Plexiform
Neurofibroma/Plexiform;Other	Neurofibroma Plexiform
Oligodendroglioma	Oligodendroglioma
Pilocytic astrocytoma	Pilocytic astrocytoma
Pineoblastoma	Pineoblastoma
Pleomorphic xanthoastrocytoma	Pleomorphic xanthoastrocytoma
Reactive connective tissue	Reactive connective tissue
Rhabdomyosarcoma	Rhabdomyosarcoma
Rosai-Dorfman disease	Rosai-Dorfman disease
Rosette-forming glioneuronal tumor	Rosette-forming glioneuronal tumor
Sarcoma	Sarcoma
Schwannoma	Schwannoma
Subependymal Giant Cell Astrocytoma	Subependymal Giant Cell Astrocytoma
Teratoma	Teratoma
Non-germinomatous germ cell tumor;Teratoma	Teratoma
Benign tumor	NA
Dysplasia/Gliosis	NA
