harmonized_diagnosis	cancer_group	has_subtype_removed	additional_modification
Adenoma	Adenoma	No	No
Arteriovenous malformation	Arteriovenous malformation	No	No
Atypical choroid plexus papilloma	Atypical choroid plexus papilloma	No	No
Atypical Teratoid Rhabdoid Tumor (ATRT)	Atypical Teratoid Rhabdoid Tumor	No	Yes
Cavernoma	Cavernoma	No	No
Chordoma, poorly differentiated	Chordoma	Yes	No
Chordoma, conventional	Chordoma	Yes	No
Choroid plexus carcinoma	Choroid plexus carcinoma	No	No
Choroid plexus cyst	Choroid plexus cyst	No	No
Choroid plexus papilloma	Choroid plexus papilloma	No	No
CNS Burkitt's lymphoma	CNS Burkitt's lymphoma	No	No
CNS Embryonal tumor, NOS	CNS Embryonal tumor	Yes	No
CNS Embryonal tumor, HGNET-MN1	CNS Embryonal tumor	Yes	No
CNS neuroblastoma	CNS neuroblastoma	No	No
Adamantinomatous craniopharyngioma	Craniopharyngioma	No	Yes
Craniopharyngioma	Craniopharyngioma	No	No
Desmoplastic infantile astrocytoma and ganglioglioma, RTK	Desmoplastic infantile astrocytoma and ganglioglioma	Yes	No
Desmoplastic infantile astrocytoma and ganglioglioma, BRAF V600E	Desmoplastic infantile astrocytoma and ganglioglioma	Yes	No
Diffuse fibrillary astrocytoma, IDH	Diffuse fibrillary astrocytoma	Yes	No
Diffuse fibrillary astrocytoma, BRAF V600E	Diffuse fibrillary astrocytoma	Yes	No
Diffuse fibrillary astrocytoma	Diffuse fibrillary astrocytoma	No	No
Diffuse fibrillary astrocytoma, wildtype	Diffuse fibrillary astrocytoma	Yes	No
Diffuse fibrillary astrocytoma, KIAA1549-BRAF	Diffuse fibrillary astrocytoma	Yes	No
Brainstem glioma- Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma	No	Yes
Diffuse leptomeningeal glioneuronal tumor,  KIAA1549-BRAF	Diffuse leptomeningeal glioneuronal tumor	Yes	No
Diffuse midline glioma, H3 K28-mutant	Diffuse midline glioma	Yes	No
Dysembryoplastic neuroepithelial tumor (DNET)	Dysembryoplastic neuroepithelial tumor	No	Yes
Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	Dysembryoplastic neuroepithelial tumor	No	Yes
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma	Dysembryoplastic neuroepithelial tumor	No	Yes
Dysplasia/Gliosis;Glial-neuronal tumor NOS	Dysplasia Gliosis-Glial-neuronal tumor NOS	No	Yes
Embryonal tumor with multilayer rosettes, C19MC-altered	Embryonal tumor with multilayer rosettes	Yes	No
CNS Embryonal tumor, NOS	Embryonal tumor with multilayer rosettes	Yes	Yes
Embryonal tumor with multilayer rosettes, NOS	Embryonal tumor with multilayer rosettes	Yes	No
Ependymoma	Ependymoma	No	No
