pathology_free_text_diagnosis	broad_histology	short_histology	subtyping module	questions
atypical lymphoid infiltrate	Benign tumor	Lymphoid infiltrate	NA	ok? unknown
dermoid cyst	Benign tumor	Cyst	NA	
dermoid inclusion cyst	Benign tumor	Cyst	NA	
epidermoid cyst	Benign tumor	Cyst	NA	
fibroma	Benign tumor	Fibroma	NA	
hamartoma	Benign tumor	Hamartoma	NA	
inclusion cyst	Benign tumor	Cyst	NA	
meningioangiomatosis	Benign tumor	Meningioangiomatosis	NA	
ossifying fibroma	Benign tumor	Fibroma	NA	
osteoblastoma	Benign tumor	Osteoblastoma	NA	
perineuroma	Benign tumor	Perineuroma	NA	
prolactinoma	Benign tumor	Prolactinoma	NA	
rathke cleft cyst	Benign tumor	Cyst	NA	
xanthogranuloma	Benign tumor	Xanthogranuloma	NA	
choroid plexus cyst	Choroid plexus tumor	Choroid plexus tumor	NA	
cortical tubers	Choroid plexus tumor	Choroid plexus tumor	NA	
dipg	Diffuse astrocytic and oligodendroglial tumor	HGAT	HGG	
embryonal tumor with multilayer rosettes, ros (who grade iv)	Embryonal tumor	ETMR	embryonal	
embryonal tumor, nos, congenital type	Embryonal tumor	Embryonal tumor	embryonal	
ependymoblastoma	Embryonal tumor	Embryonal tumor	embryonal	
medullooepithelioma	Embryonal tumor	Embryonal tumor	embryonal	
non- langerhans histiocytosis (jxg- cns)	Histiocytic tumor	JXG	NA	
rosai-dorfman disease	Histiocytic tumor	Rosai-dorfman	NA	
malignant melanocytic neoplasm	Melanocytic tumor	Melanocytoma	NA	
fibromyxoid lesion	Mesenchymal non-meningothelial tumor	Fibromixoid lesion	NA	
myofibroblastic tumor	Mesenchymal non-meningothelial tumor	Myofibroblastic tumor	NA	
glioneuronal tumor	Neuronal and mixed neuronal-glial tumor	GNT	NA	
neuroepithelial neoplasm	Neuronal and mixed neuronal-glial tumor	GNT	NA	should this be mixed or LGAT? was DNET - yes
epilepsy, chronic rasmussen encephalitis	Non-tumor	Epilepsy	NA	
reactive connective tissue	Non-tumor	Reactive tissue	NA	
ganglioneuroma	Benign tumor	Ganglioneuroma	NA	ok? more of NBL? not same as CNS tumors
arteriovenous malformation	Non-tumor	Arteriovenous malformation	NA	
myxoid spindle cell tumor	Non-CNS tumor	Myxoid spindle cell tumor	NA	
embryonal tumor with abundant neuropil and true rosettes (pnet)	Embryonal tumor	ETMR	embryonal	
