pathology_diagnosis	pathology_free_text_diagnosis	broad_histology	short_histology	harmonized_diagnosis	checked
Adenoma		Benign tumor	Adenoma	Adenoma	not in WHO book
Other	atypical lymphoid infiltrate	Benign tumor	Benign tumor-other	Benign tumor, atypical lymphoid infiltrate	not in WHO book
Other	dermoid cyst	Benign tumor (or cyst)	Benign tumor-cyst	Benign tumor (or cyst), dermoid cyst	not in WHO book
Other	dermoid inclusion cyst	Benign tumor	Benign tumor-cyst	Benign tumor, dermoid inclusion cyst	not in WHO book
Other	epidermoid cyst	Benign tumor	Benign tumor-cyst	Benign tumor, epidermoid cyst	not in WHO book
Other	fibroma	Benign tumor	Benign tumor-other	Benign tumor, fibroma	not in WHO book
Other	hamartoma	Benign tumor	Benign tumor-other	Benign tumor, hamartoma	not in WHO book
Other	inclusion cyst	Benign tumor	Benign tumor-cyst	Benign tumor, inclusion cyst	not in WHO book
Other	meningioangiomatosis	Benign tumor	Benign tumor-other	Benign tumor, meningioangiomatosis	not in WHO book
Other	ossifying fibroma	Benign tumor	Benign tumor-other	Benign tumor, ossifying fibroma	not in WHO book
Other	osteoblastoma	Benign tumor	Benign tumor-other	Benign tumor, osteoblastoma	not in WHO book
Other	perineuroma	Benign tumor	Benign tumor-other	Benign tumor, perineuroma	not in WHO book
Other	prolactinoma	Benign tumor	Benign tumor-other	Benign tumor, prolactinoma	not in WHO book
Other	rathke cleft cyst	Benign tumor	Benign tumor-other	Benign tumor, rathke cleft cyst	not in WHO book
Other	cortical tubers	Benign tumor	Benign tumor-other	Benign tumor, cortical tubers	not in WHO book
Chordoma		Chordoma	Chordoma	Chordoma	not in WHO book
Choroid plexus papilloma	if contains "atypical" and/or "grade i"	Choroid plexus tumor	Choroid plexus tumor	Atypical choroid plexus papilloma	yes
Choroid plexus papilloma		Choroid plexus tumor	Choroid plexus tumor	Choroid plexus papilloma	yes
Choroid plexus carcinoma		Choroid plexus tumor	Choroid plexus carcinoma	Choroid plexus carcinoma	yes
Other	choroid plexus cyst	Choroid plexus tumor	Choroid plexus cyst	Choroid plexus cyst	not in WHO book
Oligodendroglioma		Diffuse astrocytic and oligodendroglial tumor	Oligodendroglioma	Oligodendroglioma	yes
Ependymoma		Ependymal tumor	Ependymoma	Ependymoma	yes
Germinoma		Germ cell tumor	Germinoma	Germinoma	yes
Germinoma;Teratoma		Germ cell tumor	Germinoma	Germinoma	yes
