sample_id	aliquot_id	parental_aliquot_id	extraction_type
7316-10	717108	RNA [554634]	Same extraction
7316-100	601598	RNA [591582]	Different tissue aliquot
7316-101	588338	RNA [582983]	Same extraction
7316-1038	711661	RNA [650578]	Same extraction
7316-104	717154	RNA [582033]	Same tissue aliquot
7316-1052	577728	RNA [575900]	Same extraction
7316-1055	577725	RNA [575895]	Same extraction
7316-1057	401550	Not found	Same extraction
7316-1059	577727	RNA [575897]	Same extraction
7316-1060	577726	RNA [575896]	Same extraction
7316-1062	574555	RNA [573680]	Same extraction
7316-1064	739974	RNA [604299]	Same extraction
7316-1068	574556	RNA [573681]	Same extraction
7316-1070	717137	RNA [591121]	Same extraction
7316-1071	731919	RNA [731327]	Same extraction
7316-1073	549566	RNA [447482]	Different tissue aliquot
7316-1075	588351	RNA [583302]	Same extraction
7316-1076	571410	RNA [567604]	Same extraction
7316-1077	731885	RNA [729727]	Same extraction
7316-1078	588352	RNA [583303]	Same extraction
7316-1079	731888	RNA [730397]	Same extraction
7316-1080	731870	RNA [728668]	Same extraction
7316-1081	731897	RNA [731062]	Same extraction
7316-1082	728285	RNA [727863]	Same extraction
7316-1083	588302	RNA [581282]	Same extraction
7316-1084	731871	RNA [728669]	Same extraction
7316-1085	711673	RNA [665666]	Same extraction
7316-1086	711674	RNA [665667]	Same extraction
7316-1087	711721	RNA [665948]	Same extraction
7316-1088	717180	RNA [665949]	Same extraction
7316-1089	717173	RNA [585473]	Same extraction
7316-109	1030652	Not found	Different tissue aliquot
7316-1090	717127	RNA [570429]	Same extraction
7316-1093	654179	RNA [648540]	Same extraction
7316-1094	731855	RNA [728437]	Same extraction
7316-1095	588303	RNA [581283]	Same extraction
7316-1096	731908	RNA [731098]	Same extraction
7316-1099	470025	RNA [415897]	Same extraction
7316-1100	470028	RNA [415898]	Same extraction
7316-1101	654189	RNA [644959]	Same extraction
7316-1102	470031	RNA [415899]	Same extraction
7316-1103	588353	RNA [583304]	Same extraction
7316-1104	564479	RNA [560765]	Same extraction
7316-1105	470017	RNA [416630]	Same extraction
7316-1106	549575	RNA [478634]	Same extraction
7316-1107	588441	RNA [585474]	Same extraction
7316-1108	654212	RNA [645183]	Same extraction
7316-1109	571411	RNA [567605]	Same extraction
7316-111	470423	RNA [455484]	Same tissue aliquot
7316-1111	717118	RNA [567653]	Same extraction
7316-1113	571406	RNA [567655]	Same extraction
7316-1114	717121	RNA [568032]	Same extraction
7316-1115	717122	RNA [568033]	Same extraction
7316-1116	571419	RNA [568034]	Same extraction
7316-1117	588354	RNA [583305]	Same extraction
7316-1118	564480	RNA [560766]	Same extraction
7316-1134	588313	RNA [582035]	Same extraction
7316-1137	746100	RNA [744179]	Same extraction
7316-114	577714	RNA [574704]	Same extraction
7316-116	588297	RNA [581275]	Same extraction
7316-117	570116	RNA [563012]	Same extraction
