symbol	geneID	prevSymbols	synonyms	name	organism
NKX2-2	4821	NKX2B	NKX2.2	NK2 HOMEOBOX 2	human
MEN1	4221			MENIN 1	human
FYN	2534		SYN,SLK,MGC45350	FYN PROTO-ONCOGENE, SRC FAMILY TYROSINE KINASE	human
PTPRE	5791		PTPE	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE E	human
PEAR1	375033	MEGF12	JEDI,FLJ00193	PLATELET ENDOTHELIAL AGGREGATION RECEPTOR 1	human
PDS5B	23047	APRIN	AS3,KIAA0979,FLJ23236,CG008	PDS5 COHESIN ASSOCIATED FACTOR B	human
MAPK8	5599	PRKM8	JNK,JNK1,SAPK1	MITOGEN-ACTIVATED PROTEIN KINASE 8	human
KLHL10	317719		FLJ32662	KELCH LIKE FAMILY MEMBER 10	human
HNRNPD	3184	AUF1,HNRPD		HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN D	human
FGFR3	2261	ACH	CEK2,JTK4,CD333	FIBROBLAST GROWTH FACTOR RECEPTOR 3	human
MALAT1	378938		PRO1073,MALAT-1,NCRNA00047,HCN,NEAT2,LINC00047,MASCRNA	METASTASIS ASSOCIATED LUNG ADENOCARCINOMA TRANSCRIPT 1 (NON-PROTEIN CODING)	human
VHL	7428		VHL1	VON HIPPEL-LINDAU TUMOR SUPPRESSOR	human
ALK	238		CD246	ANAPLASTIC LYMPHOMA RECEPTOR TYROSINE KINASE	human
MUC2	4583			MUCIN 2, OLIGOMERIC MUCUS/GEL-FORMING	human
EPHA2	1969	ECK		EPH RECEPTOR A2	human
CIRBP	1153		CIRP	COLD INDUCIBLE RNA BINDING PROTEIN	human
THRSP	7069	LPGP1	SPOT14,LPGP,S14,THRP	THYROID HORMONE RESPONSIVE	human
EPS15	2060		AF-1P,MLLT5	EPIDERMAL GROWTH FACTOR RECEPTOR PATHWAY SUBSTRATE 15	human
TPK1	27010		HTPK1,PP20	THIAMIN PYROPHOSPHOKINASE 1	human
ARID5A	10865		MRF-1,RP11-363D14	AT-RICH INTERACTION DOMAIN 5A	human
KIAA1549	57670			KIAA1549	human
WISP2	8839		CT58,CTGF-L,CCN5	WNT1 INDUCIBLE SIGNALING PATHWAY PROTEIN 2	human
LTBR	4055	D12S370	TNFCR,TNFR-RP,TNFR2-RP,TNF-R-III,TNFRSF3	LYMPHOTOXIN BETA RECEPTOR	human
OSBPL3	26031	OSBP3	ORP-3,ORP3,KIAA0704	OXYSTEROL BINDING PROTEIN LIKE 3	human
CALCR	799		CTR	CALCITONIN RECEPTOR	human
LRRC25	126364		MAPA,FLJ38116	LEUCINE RICH REPEAT CONTAINING 25	human
PHLPP1	23239	PLEKHE1,PHLPP	KIAA0606,SCOP,PPM3A	PH DOMAIN AND LEUCINE RICH REPEAT PROTEIN PHOSPHATASE 1	human
ASXL1	171023		KIAA0978	ADDITIONAL SEX COMBS LIKE 1, TRANSCRIPTIONAL REGULATOR	human
CADPS2	93664		CAPS2	CALCIUM DEPENDENT SECRETION ACTIVATOR 2	human
GAS6	2621	AXLLG	AXSF,FLJ34709,DKFZP666G247	GROWTH ARREST SPECIFIC 6	human
CDKN1A	1026	CDKN1	P21,CIP1,WAF1,SDI1,CAP20,P21CIP1,P21CIP1/WAF1	CYCLIN DEPENDENT KINASE INHIBITOR 1A	human
ESRRA	2101	ESRL1	ERR1,ERRALPHA,NR3B1,ERRA	ESTROGEN RELATED RECEPTOR ALPHA	human
TRAF3	7187		CAP-1,CD40BP,CRAF1,LAP1	TNF RECEPTOR ASSOCIATED FACTOR 3	human
BBC3	27113		JFY1,PUMA	BCL2 BINDING COMPONENT 3	human
CTNNB1	1499	CTNNB	BETA-CATENIN,ARMADILLO	CATENIN BETA 1	human
JAK2	3717		JTK10	JANUS KINASE 2	human
S100P	6286			S100 CALCIUM BINDING PROTEIN P	human
CSNK1A1	1452		CK1,CK1A,CK1ALPHA,CKIA,CKIALPHA	CASEIN KINASE 1 ALPHA 1	human
PIAS3	10401		FLJ14651,ZMIZ5	PROTEIN INHIBITOR OF ACTIVATED STAT 3	human
CRKL	1399			CRK LIKE PROTO-ONCOGENE, ADAPTOR PROTEIN	human
FRAT1	10023			FRAT1, WNT SIGNALING PATHWAY REGULATOR	human
RASA1	5921	RASA	GAP,CM-AVM,P120GAP,P120RASGAP,P120	RAS P21 PROTEIN ACTIVATOR 1	human
LATS2	26524			LARGE TUMOR SUPPRESSOR KINASE 2	human
HOXD11	3237	HOX4,HOX4F		HOMEOBOX D11	human
SUFU	51684		SUFUH,SUFUXL,PRO1280	SUFU NEGATIVE REGULATOR OF HEDGEHOG SIGNALING	human
ATRX	546	RAD54,JMS,MRX52	XH2,XNP	ATRX, CHROMATIN REMODELER	human
CCND3	896			CYCLIN D3	human
TTL	150465		MGC46235	TUBULIN TYROSINE LIGASE	human
AHI1	54806		FLJ20069,ORF1,JBTS3	ABELSON HELPER INTEGRATION SITE 1	human
TAP1	6890	ABCB2	PSF1,RING4,D6S114E	TRANSPORTER 1, ATP BINDING CASSETTE SUBFAMILY B MEMBER	human
VGF	7425		SCG7,SGVII	VGF NERVE GROWTH FACTOR INDUCIBLE	human
SDC4	6385		SYND4,AMPHIGLYCAN,RYUDOCAN	SYNDECAN 4	human
FMNL3	91010		DKFZP762B245,MGC45819,WBP3	FORMIN LIKE 3	human
CRYAA	1409	CRYA1	HSPB4	CRYSTALLIN ALPHA A	human
MAP3K8	1326	COT,ESTF	TPL-2,EST,C-COT,MEKK8	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 8	human
CXCL2	2920	GRO2	SCYB2,GROB,MIP-2A,MGSA-B,CINC-2A	C-X-C MOTIF CHEMOKINE LIGAND 2	human
MDK	4192	NEGF2	MK,FLJ27379	MIDKINE (NEURITE GROWTH-PROMOTING FACTOR 2)	human
MIR222	407007	MIRN222	HSA-MIR-222	MICRORNA 222	human
JAK1	3716	JAK1B	JAK1A,JTK3	JANUS KINASE 1	human
HBP1	26959			HMG-BOX TRANSCRIPTION FACTOR 1	human
HHEX	3087	PRHX	HEX,HOX11L-PEN	HEMATOPOIETICALLY EXPRESSED HOMEOBOX	human
CDKN2D	1032		INK4D,P19	CYCLIN DEPENDENT KINASE INHIBITOR 2D	human
SPP1	6696	BNSP,OPN	BSPI,ETA-1	SECRETED PHOSPHOPROTEIN 1	human
SIRT1	23411		SIR2L1	SIRTUIN 1	human
MPL	4352		CD110,TPOR	MPL PROTO-ONCOGENE, THROMBOPOIETIN RECEPTOR	human
RARA	5914		RAR,NR1B1	RETINOIC ACID RECEPTOR ALPHA	human
CDK2AP1	8099		DORC1,DOC-1,DOC1,ST19,P12DOC-1	CYCLIN DEPENDENT KINASE 2 ASSOCIATED PROTEIN 1	human
NAA10	8260	ARD1,ARD1A	DXS707,TE2	N(ALPHA)-ACETYLTRANSFERASE 10, NATA CATALYTIC SUBUNIT	human
ZNF281	23528		ZBP-99	ZINC FINGER PROTEIN 281	human
BCR	613	D22S11,BCR1	D22S662,CML,PHL,ALL	BCR, RHOGEF AND GTPASE ACTIVATING PROTEIN	human
TYRO3	7301	RSE	DTK,BRT,TIF,SKY,ETK-2,REK	TYRO3 PROTEIN TYROSINE KINASE	human
UBL3	5412	PNSC1	HCG-1,DKFZP434K151,FLJ32018	UBIQUITIN LIKE 3	human
ELOVL5	60481	SCA38	HELO1,DJ483K16.1	ELOVL FATTY ACID ELONGASE 5	human
GPER1	2852	CMKRL2,GPR30,GPER	FEG-1,GPCR-BR,LERGU,LERGU2,DRY12,LYGPR,CEPR	G PROTEIN-COUPLED ESTROGEN RECEPTOR 1	human
FNBP4	23360		KIAA1014	FORMIN BINDING PROTEIN 4	human
EXOC4	60412	SEC8L1	KIAA1699,MGC27170,SEC8,SEC8P	EXOCYST COMPLEX COMPONENT 4	human
PDE11A	50940			PHOSPHODIESTERASE 11A	human
TSC1	7248	TSC	KIAA0243,LAM,HAMARTIN	TUBEROUS SCLEROSIS 1	human
ANP32B	10541		SSP29,PHAPI2,APRIL	ACIDIC NUCLEAR PHOSPHOPROTEIN 32 FAMILY MEMBER B	human
FOXM1	2305	FKHL16	HFH-11,TRIDENT,HNF-3,INS-1,MPP2,MPHOSPH2,TGT3	FORKHEAD BOX M1	human
PPFIBP1	8496		L2,HSGT2,HSGT2P,SGT2	PPFIA BINDING PROTEIN 1	human
CBL	867	CBL2	RNF55,C-CBL	CBL PROTO-ONCOGENE	human
HGF	3082	DFNB39	SF,F-TCF,HGFB,HPTA	HEPATOCYTE GROWTH FACTOR	human
ZNF423	23090		KIAA0760,OAZ,ROAZ,EBFAZ,ZFP104,NPHP14,JBTS19	ZINC FINGER PROTEIN 423	human
PLCB1	23236		KIAA0581,PLC-I,PLC154	PHOSPHOLIPASE C BETA 1	human
ABL2	27	ABLL	ARG	ABL PROTO-ONCOGENE 2, NON-RECEPTOR TYROSINE KINASE	human
MEIS1	4211			MEIS HOMEOBOX 1	human
KIZ	55857	NCRNA00153,C20ORF19,PLK1S1	HT013	KIZUNA CENTROSOMAL PROTEIN	human
BCL2A1	597	HBPA1	GRS,BFL1,BCL2L5,ACC-1,ACC-2,ACC2,ACC1	BCL2 RELATED PROTEIN A1	human
CIITA	4261	MHC2TA	C2TA,NLRA	CLASS II MAJOR HISTOCOMPATIBILITY COMPLEX TRANSACTIVATOR	human
DEK	7913		D6S231E	DEK PROTO-ONCOGENE	human
OTOF	9381	DFNB9	FER1L2,DFNB6	OTOFERLIN	human
SH2B2	10603		APS	SH2B ADAPTOR PROTEIN 2	human
SLC45A3	85414	PCANAP6,PCANAP2,PCANAP8	IPCA-6,PROSTEIN,IPCA-2,IPCA-8	SOLUTE CARRIER FAMILY 45 MEMBER 3	human
MACF1	23499		KIAA0465,ACF7,ABP620,KIAA1251,MACF,FLJ45612,FLJ46776	MICROTUBULE-ACTIN CROSSLINKING FACTOR 1	human
ID4	3400		BHLHB27	INHIBITOR OF DNA BINDING 4, HLH PROTEIN	human
GPC5	2262			GLYPICAN 5	human
IRAK2	3656			INTERLEUKIN 1 RECEPTOR ASSOCIATED KINASE 2	human
