term	estimate	std.error	statistic	p.value	conf.low	conf.high
broad_histology_displayDiffuse astrocytic and oligodendroglial tumor	19.709910014234502	3625.157645108574	0.005436980110597145	0.9956619388850981	-Inf	Inf
broad_histology_displayEmbryonal tumor	18.24005929535042	3625.1576437947574	0.005031521684738934	0.9959854434693022	-Inf	Inf
broad_histology_displayEpendymal tumor	17.1455826545485	3625.157658389099	0.004729610204640709	0.9962263311081071	-Inf	Inf
broad_histology_displayGerm cell tumor	0.004432655944493193	6700.835330474289	6.615079651837149e-7	0.9999994721930078	-Inf	Inf
broad_histology_displayLow-grade astrocytic tumor	14.52603692809941	3625.157711668999	0.004007008269279329	0.9968028785224934	-Inf	Inf
broad_histology_displayMeningioma	-0.007905284647123118	4869.250711361796	-1.623511524817794e-6	0.9999987046252201	-Inf	Inf
broad_histology_displayMesenchymal non-meningothelial tumor	17.790922894089395	3625.157687296312	0.004907627316856964	0.996084295651875	-Inf	Inf
broad_histology_displayNeuronal and mixed neuronal-glial tumor	0.020227394896214758	5149.273285234826	3.928203801925869e-6	0.9999968657468348	-Inf	Inf
broad_histology_displayOther	18.128857993007003	3625.157661084607	0.005000846773539513	0.9960099181994314	-Inf	Inf
broad_histology_displayTumor of cranial and paraspinal nerves	16.394822704273476	3625.157698603056	0.004522512968357535	0.9963915690271351	-Inf	Inf
broad_histology_displayTumors of sellar region	16.114165022166972	3625.157778948967	0.00444509342896488	0.9964533402613628	-Inf	Inf
