term	estimate	std.error	statistic	p.value	conf.low	conf.high
B_cell	-10003.43696726548	34017917.50379067	-2.9406376701780117e-4	0.9997653710637865	-Inf	Inf
Macrophage_M1	2246.3845392644625	11380058.381078295	1.9739657425655585e-4	0.9998425003220681	-Inf	Inf
Macrophage_M2	2399.8249966924604	4408085.894146086	5.444143000660253e-4	0.9995656202567544	-Inf	Inf
Monocyte	-474.31105333648617	1179351978.687113	-4.0217938487244685e-7	0.9999996791072782	-Inf	Inf
Neutrophil	-184.36478057025846	3526149.640253802	-5.2285013223939195e-5	0.9999582825952062	-Inf	Inf
NK_cell	179.00127756243674	5012504.827815909	3.571094367213462e-5	0.9999715067893983	-Inf	Inf
T_cell_CD4_non_regulatory	861.0127552747954	2735096.9268891076	3.1480155120283405e-4	0.999748824706727	-Inf	Inf
T_cell_CD8	-16483.86356150864	0	-Inf	0	-Inf	-Inf
T_cell_regulatory_Tregs	-120.63420857985668	163103690.64636523	-7.396166702408399e-7	0.9999994098712779	-Inf	Inf
Myeloid_dendritic_cell	-51.30983676227362	517029.1250143539	-9.923974159260204e-5	0.9999208181424951	-Inf	Inf
CD274	-7.638182771202573	105248.42748817604	-7.257289209437996e-5	0.999942095209916	-Inf	Inf
