term	estimate	std.error	statistic	p.value	conf.low	conf.high
tp53_score	0.21963130669543882	0.45797106944364074	0.47957463112736487	0.6315298888452967	-0.6779754953753888	1.1172381087662664
telomerase_score	2.2305109749177143	0.8128545587842542	2.7440468295506366	0.006068687998643976	0.6373453150313804	3.8236766348040483
broad_histology_displayDiffuse astrocytic and oligodendroglial tumor	19.100445656400286	3613.7385571995983	0.005285508443422601	0.9957827940527414	-Inf	Inf
broad_histology_displayEmbryonal tumor	17.291234274137764	3613.7385637509155	0.004784860323761262	0.996182248389911	-Inf	Inf
broad_histology_displayEpendymal tumor	17.011622949015834	3613.7385623003634	0.004707485795039613	0.9962439836364292	-Inf	Inf
broad_histology_displayGerm cell tumor	-0.8932126214044334	6504.2470101747595	-1.373275984148754e-4	0.999890428429797	-Inf	Inf
broad_histology_displayLow-grade astrocytic tumor	14.459817603311274	3613.7386155211657	0.004001345736851504	0.9968073965334728	-Inf	Inf
broad_histology_displayMeningioma	-0.38484005360839507	4854.606634469297	-7.92731692977768e-5	0.9999367491621975	-Inf	Inf
broad_histology_displayMesenchymal non-meningothelial tumor	17.08331969202333	3613.7386014683952	0.004727325790825531	0.9962281537862445	-Inf	Inf
broad_histology_displayNeuronal and mixed neuronal-glial tumor	-0.13955913561661673	5145.729279708018	-2.7121352102016465e-5	0.9999783602918924	-Inf	Inf
broad_histology_displayOther	17.725969066301648	3613.738569979971	0.004905160880633347	0.9960862635595714	-Inf	Inf
broad_histology_displayTumor of cranial and paraspinal nerves	16.245594438062962	3613.7386010652717	0.004495509009222201	0.9964131148501819	-Inf	Inf
broad_histology_displayTumors of sellar region	15.83028164117119	3613.738684689802	0.004380582831912772	0.9965048117695915	-Inf	Inf
