term	estimate	std.error	statistic	p.value	conf.low	conf.high
B_cell	-40.220366157537086	29.873579846348182	-1.346352407860276	0.17818889168306815	-98.77150674566111	18.330774430586942
Macrophage_M1	131.28350376785593	13.407369856899374	9.79189096512453	1.2199270811457327e-22	105.00554172092524	157.56146581478663
Macrophage_M2	-173.813445428293	12.232445266941989	-14.20921505351194	8.032075657574049e-46	-197.78859759435673	-149.83829326222926
Monocyte	-24.673606871823765	6.633209154488768	-3.7197088614531104	1.9945255390989403e-4	-37.67445791654313	-11.672755827104398
Neutrophil	213.22565195487246	342.87735744545614	0.6218714864798027	0.5340263755478891	-458.801619752488	Inf
NK_cell	117.42067575211911	10.843836206730291	10.82833358173017	2.5271241198883816e-27	96.16714733267631	138.6742041715619
T_cell_CD4_non_regulatory	-43.66612287680985	7.155424741999764	-6.102520039167689	1.0440901478520153e-9	-57.69049766521619	-29.64174808840351
T_cell_CD8	-223.16568594194504	82.3853086437222	-2.7088043926257765	0.006752613819400035	-384.6379237388569	-61.69344814503316
T_cell_regulatory_Tregs	-8.755529283515134	44.37976697183846	-0.1972865087162586	0.8436033363561894	-95.7382741905987	78.22721562356844
Myeloid_dendritic_cell	-12.71404085990366	4.571969116625722	-2.78086761646524	0.00542138398789088	-21.67493566691948	-3.753146052887841
molecular_subtypeHGG, H3 wildtype	0.010537247687075618	0.4418482497548202	0.023848114579887312	0.9809737610631675	-0.8554694084644304	0.8765439038385817
molecular_subtypeHGG, H3 wildtype, TP53 activated	-0.2117500387248514	0.8299438132239414	-0.25513780011480786	0.7986166697341792	-1.8384100218356136	1.4149099443859108
molecular_subtypeHGG, H3 wildtype, TP53 loss	2.041967244087792	0.43237253202847137	4.722703439341817	2.3273009430389943e-6	1.194532653407597	2.8894018347679866
molecular_subtypeHGG, IDH, TP53 activated	-0.5564841172775309	1.1352158917374622	-0.49020113383527864	0.6239915785709894	-2.7814663797604773	1.6684981452054153
molecular_subtypeHGG, To be classified	1.6526425201536277	0.3802691860504285	4.345980638921573	1.3865479981193e-5	0.9073286110644269	2.3979564292428286
molecular_subtypeHGG, To be classified, TP53 loss	-1.993144875132253	1.019063610702724	-1.9558591379372519	0.05048175006807995	-3.990472850064938	0.0041830998004319725
CD274	0.13258165487792994	0.1970931493716607	0.6726852521287753	0.5011475520098764	-0.25371381949009814	0.518877129245958
