term	estimate	std.error	statistic	p.value	conf.low	conf.high
B_cell	-60.97918723376467	93.05898171108228	-0.6552746023278561	0.5122909697894407	-243.37143982545746	121.41306535792813
Macrophage_M1	1032.3231972954934	368.5039795597517	2.8013895495207417	0.005088305582453084	310.06866919869594	Inf
Macrophage_M2	30.595394516117835	188.09552356171443	0.16265881259039872	0.8707870778022792	-338.06505731804754	399.2558463502832
Monocyte	60.80685687662241	18.513295409165817	3.2844966567387734	0.0010216471027598077	24.521464639506696	97.09224911373812
Neutrophil	25.731541432980716	148.04114647472218	0.17381344339544372	0.8620120789124552	-264.4237738874935	315.8868567534549
NK_cell	-6.82628085182299	42.08527986197807	-0.16220115142896294	0.8711474530983238	-89.3119136605888	75.65935195694283
T_cell_CD4_non_regulatory	40.49293097598819	38.77843183034246	1.0442126992949778	0.2963869927593758	-35.51139878842467	116.49726074040105
T_cell_CD8	-78.31110760667697	204.69201439114798	-0.38258017949362455	0.7020310686505612	-479.50008373628134	322.87786852292743
T_cell_regulatory_Tregs	-220.16562247745148	241.98790593210822	-0.9098207682297181	0.3629170400410449	-694.45320279865	254.12195784374703
Myeloid_dendritic_cell	21.935700749874698	28.42300246624901	0.7717587463154999	0.44025732945483814	-33.77236041646648	77.64376191621588
molecular_subtypeMB, Group4	1.4155109550988079	0.8165694619032995	1.733485050738325	0.08300949230818003	-0.1849357811069106	3.0159576913045263
molecular_subtypeMB, SHH	2.365715481855008	1.3781255951580345	1.716618202409718	0.08604895443688455	-0.33536105082756595	5.066792014537582
molecular_subtypeMB, To be classified	0.6141623794525245	0.8559661331723637	0.7175078027635612	0.4730608236095435	-1.0635004135513237	2.2918251724563725
molecular_subtypeMB, WNT	-14.70072574064361	5521.938182674212	-0.0026622401871083997	0.9978758421667271	-Inf	Inf
CD274	-5.511636089970245	2.258439823822766	-2.4404617877490886	0.014668497713464214	-9.938096805913851	-1.0851753740266394
