strata	median	lower	upper
broad_histology=Benign tumor	NA	NA	NA
broad_histology=Choroid plexus tumor	1339	1339	NA
broad_histology=Diffuse astrocytic and oligodendroglial tumor	394	349	515
broad_histology=Embryonal tumor	3323	2077	NA
broad_histology=Ependymal tumor	NA	NA	NA
broad_histology=Germ cell tumor	NA	NA	NA
broad_histology=Histiocytic tumor	NA	NA	NA
broad_histology=Low-grade astrocytic tumor	7609	7609	NA
broad_histology=Meningioma	NA	NA	NA
broad_histology=Mesenchymal non-meningothelial tumor	1997	1997	NA
broad_histology=Neuronal and mixed neuronal-glial tumor	NA	NA	NA
broad_histology=Pre-cancerous lesion	NA	NA	NA
broad_histology=Tumor of cranial and paraspinal nerves	NA	5890	NA
broad_histology=Tumor of pineal region	NA	273	NA
broad_histology=Tumors of sellar region	NA	NA	NA
