sample_id	Kids_First_Biospecimen_ID	ploidy	GISTIC_copy_number	GISTIC_SMARCB1_focal_status	copy_number	SMARCB1_focal_status
7316-2186	BS_NXZSD2KK	2	5	gain	1	loss
7316-1781	BS_0EN5R1AP	2	2	neutral	1	loss
7316-1778	BS_WCNPE0AC	2	1	loss	1	loss
7316-2141	BS_8WJR4AA3	2	3	gain	0	loss
7316-3937	BS_R5G3QP11	2	3	gain	0	loss
7316-386	BS_GTAJFTTR	2	5	gain	1	loss
7316-820	BS_P7CY04E7	3	3	neutral	0	loss
7316-3890	BS_5WK2KXYW	3	1	loss	0	loss
7316-918	BS_CKY2TTXG	2	2	neutral	1	loss
7316-2933	BS_DE26D072	3	5	gain	5	gain
7316-2181	BS_NDSWS9TS	3	5	gain	2	loss
7316-2224	BS_SCQNN2A2	2	3	gain	0	loss
7316-1790	BS_A94A7EJ4	2	3	gain	0	loss
7316-525	BS_9KDA3HG6	2	5	gain	1	loss
7316-41	BS_12ZB7R6A	2	3	gain	1	loss
7316-2688	BS_JDMM2XG4	2	2	neutral	1	loss
7316-1073	BS_W23ERYW3	2	2	neutral	1	loss
7316-122	BS_QMHND3QK	3	3	neutral	1	loss
7316-2110	BS_6GN1FGTB	3	5	gain	2	loss
7316-2582	BS_1C4WCNQF	2	2	neutral	1	loss
7316-878	BS_SWHQ8FDW	2	3	gain	0	loss, neutral
