cancer_group	efo_code	mondo_code
Acute Lymphoblastic Leukemia	EFO_0000220	MONDO_0004967
Acute Myeloid Leukemia	EFO_0000222	MONDO_0018874
Adamantinomatous Craniopharyngioma	EFO_1000069	MONDO_0002787
Adenoma	EFO_0000232	MONDO_0002454
Atypical Teratoid Rhabdoid Tumor	EFO_1002008	MONDO_0020560
Cavernoma	EFO_1000151	MONDO_0003155
Central Neurocytoma	EFO_1000856	MONDO_0002714
Chordoma	Orphanet_178	MONDO_0008978
Choroid plexus carcinoma	MONDO_0016718	MONDO_0016718
Choroid plexus cyst	MONDO_0016717	MONDO_0016717
Choroid plexus papilloma	EFO_1000177	MONDO_0009837
Clear cell sarcoma of the kidney	EFO_0000350	MONDO_0005006
CNS Embryonal tumor	EFO_0005784	MONDO_0018843
CNS neuroblastoma	EFO_0000621	MONDO_0006130
Craniopharyngioma	EFO_1000209	MONDO_0002787
Diffuse intrinsic pontine glioma	EFO_1000026	MONDO_0006033
Diffuse midline glioma	MONDO_0003869	MONDO_0006033
Dysembryoplastic neuroepithelial tumor	EFO_0005551	MONDO_0005505
Embryonal tumor with multilayer rosettes	MONDO_0016715	MONDO_0016715
Ependymoma	EFO_1000028	MONDO_0016698
Ewing sarcoma	EFO_0000174	MONDO_0012817
Extraventricular Neurocytoma	EFO_0007201	MONDO_0002682
Fibromyxoid lesion	MONDO_0037745	MONDO_0037745
Ganglioglioma	EFO_0003094	MONDO_0016733
Ganglioneuroblastoma	EFO_0000502	MONDO_0005035
Ganglioneuroma	EFO_0000500	MONDO_0005033A31
Germinoma	EFO_0000514	MONDO_0005040
Germinoma;Teratoma	EFO_0000514	MONDO_0002601
Glial-neuronal tumor NOS	MONDO_0016729	MONDO_0016729
Hemangioblastoma	MONDO_0016748	MONDO_0016748
High-grade glioma/astrocytoma	MONDO_0016680	MONDO_0100342
Langerhans Cell histiocytosis	EFO_1000318	MONDO_0009519
Low-grade glioma/astrocytoma	MONDO_0016685	MONDO_0016685
Malignant peripheral nerve sheath tumor	EFO_0000760	MONDO_0018078
Medulloblastoma	EFO_0002939	MONDO_0007959
Melanocytic tumor	MONDO_0003222	MONDO_0003222
Meningioma	Orphanet_2495	MONDO_0016642
Metastatic secondary tumors	EFO_0009812	MONDO_0024883
Metastatic secondary tumors;Neuroblastoma	EFO_0000621	MONDO_0005072
Myofibroblastoma	MONDO_0040675	MONDO_0040675
Myxoid spindle cell tumor	EFO_0000705	MONDO_0020664
Neuroblastoma	EFO_0000621	MONDO_0005072
Neurofibroma/Plexiform	EFO_0000658	MONDO_0003304
Oligodendroglioma	EFO_0000632	
Osteosarcoma	EFO_0000637	MONDO_0009807
Pineoblastoma	EFO_1000475	MONDO_0016722
Primary CNS lymphoma	EFO_1000157	MONDO_0002571
Rhabdoid tumor	EFO_0005701	MONDO_0002728
Rhabdomyosarcoma	EFO_0002918	MONDO_0002847
Rosai-Dorfman disease	MONDO_0006412	MONDO_0006412
Sarcoma	EFO_0000691	MONDO_0005089
Schwannoma	EFO_0000693	MONDO_0002546
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693
Teratoma	MONDO_0002601	MONDO_0002601
Wilms tumor	MONDO_0019004	MONDO_0006058
