Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
MUC4	0	0	0	0	686	0	0	1	0	687	405	405
MUC17	1	0	1	0	668	3	0	0	0	673	280	280
FLG2	0	0	0	0	513	37	0	0	0	550	241	241
TCHH	0	0	0	21	286	5	0	0	0	312	219	219
AHNAK	2	2	0	0	317	0	0	1	0	322	193	193
MUC5AC	2	0	0	0	262	2	0	0	0	266	193	193
AHNAK2	0	0	0	0	243	3	0	0	0	246	169	169
IGFN1	1	1	0	0	195	5	0	0	0	202	160	160
MAGEC1	0	0	0	0	191	1	0	0	0	192	141	141
MUCL3	0	1	0	0	150	13	0	0	0	164	129	129
RBMXL3	0	0	0	0	135	12	0	0	0	147	128	128
MDC1	1	0	0	0	173	1	0	0	0	175	125	125
INAFM2	0	0	0	0	143	0	0	0	0	143	123	123
TP53	8	4	2	0	116	15	0	5	0	150	122	122
KLF18	0	0	0	14	138	1	0	0	0	153	121	121
TEX13C	0	0	1	0	143	0	0	0	0	144	115	115
MUC16	1	0	0	0	148	8	0	0	0	157	112	112
ZNF90	0	0	0	0	106	22	0	0	0	128	104	104
LMTK3	1	0	1	0	120	0	0	0	0	122	103	103
MAP3K10	0	0	0	0	14	0	0	0	110	124	102	102
FAM186A	0	0	0	0	110	2	0	0	0	112	101	101
ZNF43	0	0	0	0	108	12	0	0	0	120	99	99
ZNF850	0	0	0	0	142	1	0	0	0	143	97	97
H3F3A	0	0	0	0	96	0	0	0	0	96	96	96
ZNF257	0	0	0	0	111	1	0	0	0	112	95	95
ARMCX4	0	0	0	0	112	0	0	0	0	112	92	92
FAM47C	0	0	0	0	116	0	0	0	0	116	91	91
ZAN	1	0	0	0	102	5	0	0	0	108	89	89
ALMS1	1	1	0	0	105	0	0	0	8	115	86	86
TEX13D	0	0	1	2	99	0	0	0	0	102	84	84
TRIOBP	0	0	4	0	97	1	0	0	0	102	82	82
TTN	4	0	0	0	186	14	0	5	0	209	79	79
RP1L1	0	0	0	0	100	2	0	0	0	102	79	79
MKI67	11	0	7	0	80	2	0	0	0	100	79	79
PRDM9	2	0	0	0	82	15	0	0	0	99	77	77
TXNDC2	0	0	0	0	81	7	0	0	0	88	77	77
RUNX1	0	0	0	0	85	0	0	1	0	86	75	75
RPTN	2	0	0	0	75	0	0	0	0	77	75	75
SBSN	0	0	0	0	80	0	0	0	0	80	73	73
