Kids_First_Biospecimen_ID	count_regions_any_conf	count_regions_high_conf	count_regions_low_conf	any_regions	any_regions_logical
BS_K07KNTFY	0	0	0	No Calls	FALSE
BS_TE8QFF7T	0	0	0	No Calls	FALSE
BS_2VB8649B	0	0	0	No Calls	FALSE
BS_MW74GF38	0	0	0	No Calls	FALSE
BS_3JE2T7AR	0	0	0	No Calls	FALSE
BS_B1X2SB4P	0	0	0	No Calls	FALSE
BS_0W8AWY10	0	0	0	No Calls	FALSE
BS_30W38X77	0	0	0	No Calls	FALSE
BS_YPCTK927	0	0	0	No Calls	FALSE
BS_QWS88QXE	0	0	0	No Calls	FALSE
BS_GAA327FP	0	0	0	No Calls	FALSE
BS_354DTKHE	0	0	0	No Calls	FALSE
BS_PDRNE606	0	0	0	No Calls	FALSE
BS_Q807ENGY	0	0	0	No Calls	FALSE
BS_Z4Q8RH5M	0	0	0	No Calls	FALSE
BS_J6VRW67C	0	0	0	No Calls	FALSE
BS_8SYN7GXG	1	1	0	High Confidence	TRUE
BS_HQFNQHVW	0	0	0	No Calls	FALSE
BS_KBPBCWA0	0	0	0	No Calls	FALSE
BS_VQEPFE1P	0	0	0	No Calls	FALSE
BS_VW4XN9Y7	0	0	0	No Calls	FALSE
BS_QSMFVHSB	0	0	0	No Calls	FALSE
BS_KAZENYZE	0	0	0	No Calls	FALSE
BS_9F2J6VS1	0	0	0	No Calls	FALSE
BS_85Y70BHE	0	0	0	No Calls	FALSE
BS_P0KQFXNC	0	0	0	No Calls	FALSE
BS_CXCKHP3Z	0	0	0	No Calls	FALSE
BS_5D24XV4T	0	0	0	No Calls	FALSE
BS_5KK9P7XD	0	0	0	No Calls	FALSE
BS_JDS0SYST	0	0	0	No Calls	FALSE
BS_ETTZM63Y	0	0	0	No Calls	FALSE
BS_MZJJRDZF	0	0	0	No Calls	FALSE
BS_GWPJKM7G	0	0	0	No Calls	FALSE
BS_KYPMZZSY	0	0	0	No Calls	FALSE
BS_376Q9QKG	0	0	0	No Calls	FALSE
BS_7GKF6M85	0	0	0	No Calls	FALSE
BS_C0YDDQKB	0	0	0	No Calls	FALSE
BS_79SYEHY3	1	0	1	Low Confidence	TRUE
BS_THH0CE5A	0	0	0	No Calls	FALSE
BS_F1B71HTZ	0	0	0	No Calls	FALSE
BS_007JTNB8	0	0	0	No Calls	FALSE
BS_KKWQW01N	0	0	0	No Calls	FALSE
BS_8D52JK1Q	0	0	0	No Calls	FALSE
BS_6GTKRGNK	0	0	0	No Calls	FALSE
BS_HSYF7G2D	0	0	0	No Calls	FALSE
BS_JM979K1M	0	0	0	No Calls	FALSE
BS_CGCNC41M	0	0	0	No Calls	FALSE
BS_QXZTRMWM	0	0	0	No Calls	FALSE
BS_A3EV6FXK	0	0	0	No Calls	FALSE
BS_4DTX295Z	1	0	1	Low Confidence	TRUE
BS_BVD7PWP5	0	0	0	No Calls	FALSE
BS_9X9E86DY	0	0	0	No Calls	FALSE
BS_CDKC1E2B	0	0	0	No Calls	FALSE
BS_BBCM52QE	0	0	0	No Calls	FALSE
BS_05S9WJW6	0	0	0	No Calls	FALSE
BS_W50WEJE7	0	0	0	No Calls	FALSE
BS_QZT3SPY7	1	1	0	High Confidence	TRUE
BS_1YTHM07J	0	0	0	No Calls	FALSE
BS_D09VWF8H	0	0	0	No Calls	FALSE
BS_J5J0EA7Y	0	0	0	No Calls	FALSE
BS_AQQY8HMR	0	0	0	No Calls	FALSE
BS_F48RA7QF	0	0	0	No Calls	FALSE
BS_JC2187NA	0	0	0	No Calls	FALSE
BS_CFEWVDG1	0	0	0	No Calls	FALSE
BS_6Z213H2V	0	0	0	No Calls	FALSE
BS_B3RH9V17	0	0	0	No Calls	FALSE
BS_8TFBNHT0	0	0	0	No Calls	FALSE
BS_2VHFP7M8	0	0	0	No Calls	FALSE
BS_B9QP40ER	0	0	0	No Calls	FALSE
BS_YBCQBCQC	0	0	0	No Calls	FALSE
BS_17AXPP1Y	0	0	0	No Calls	FALSE
BS_ST3Z2B9B	0	0	0	No Calls	FALSE
BS_CQ8C6X4X	0	0	0	No Calls	FALSE
BS_AJFG2QDD	0	0	0	No Calls	FALSE
BS_M28HG0NT	0	0	0	No Calls	FALSE
BS_5RD8KEED	0	0	0	No Calls	FALSE
BS_ZJZFT0AJ	0	0	0	No Calls	FALSE
BS_QYWGB52C	0	0	0	No Calls	FALSE
BS_93B38HPS	0	0	0	No Calls	FALSE
BS_JDMM2XG4	0	0	0	No Calls	FALSE
BS_EJV0N3BX	2	2	0	High Confidence	TRUE
BS_MHT5C2AP	0	0	0	No Calls	FALSE
BS_F064HMTP	0	0	0	No Calls	FALSE
BS_JX1PK0VW	0	0	0	No Calls	FALSE
BS_E5B2YZJH	0	0	0	No Calls	FALSE
BS_AQECMDPP	0	0	0	No Calls	FALSE
BS_E42SSQGJ	0	0	0	No Calls	FALSE
BS_20TBZG09	0	0	0	No Calls	FALSE
BS_49JD1V3S	0	0	0	No Calls	FALSE
BS_VMZMGB7B	0	0	0	No Calls	FALSE
BS_R9V82BC1	0	0	0	No Calls	FALSE
BS_03SSN1N2	0	0	0	No Calls	FALSE
BS_859AV1DB	0	0	0	No Calls	FALSE
BS_5V2XCW17	0	0	0	No Calls	FALSE
BS_5R0HHQ1Y	0	0	0	No Calls	FALSE
BS_N2JD3VX6	0	0	0	No Calls	FALSE
BS_XVNNWN2Z	0	0	0	No Calls	FALSE
BS_F5V8CWXT	0	0	0	No Calls	FALSE
BS_2CD1XWVP	0	0	0	No Calls	FALSE
BS_75VHXMZN	0	0	0	No Calls	FALSE
BS_VW96PFKQ	0	0	0	No Calls	FALSE
BS_JJNSP29S	0	0	0	No Calls	FALSE
BS_10AD3EFX	0	0	0	No Calls	FALSE
BS_QZTPJ8YW	0	0	0	No Calls	FALSE
BS_B4P1NP87	0	0	0	No Calls	FALSE
BS_9G7ETYHR	0	0	0	No Calls	FALSE
BS_K049HVGR	0	0	0	No Calls	FALSE
BS_HN8DE43A	0	0	0	No Calls	FALSE
BS_3NX3RBCX	3	1	2	High Confidence	TRUE
BS_T7WMJ08W	0	0	0	No Calls	FALSE
BS_HTGDSPQA	0	0	0	No Calls	FALSE
BS_CPYV7AHD	0	0	0	No Calls	FALSE
BS_71HPXFE7	0	0	0	No Calls	FALSE
BS_GFS9JEE6	0	0	0	No Calls	FALSE
BS_742CDKAS	0	0	0	No Calls	FALSE
BS_BZWM455T	0	0	0	No Calls	FALSE
BS_0RF0G9SQ	0	0	0	No Calls	FALSE
BS_QC5FNXGH	0	0	0	No Calls	FALSE
BS_H8E4K1DT	1	1	0	High Confidence	TRUE
BS_8B1YF57H	0	0	0	No Calls	FALSE
BS_FHE6Z73G	0	0	0	No Calls	FALSE
BS_9M49SGAQ	0	0	0	No Calls	FALSE
BS_N9N1X78X	0	0	0	No Calls	FALSE
BS_F7KYPE79	0	0	0	No Calls	FALSE
BS_AEMRNSQX	0	0	0	No Calls	FALSE
BS_823V5X6Z	0	0	0	No Calls	FALSE
BS_9NF39QAW	1	1	0	High Confidence	TRUE
BS_VHD4ARSG	0	0	0	No Calls	FALSE
BS_P36C0ABE	0	0	0	No Calls	FALSE
BS_W9FW1PAE	0	0	0	No Calls	FALSE
BS_4P25NNZD	0	0	0	No Calls	FALSE
BS_AXM96K20	0	0	0	No Calls	FALSE
BS_YKQP4SBX	0	0	0	No Calls	FALSE
BS_8Q8CAY84	0	0	0	No Calls	FALSE
BS_3E5C1PN1	0	0	0	No Calls	FALSE
BS_WJB33V17	0	0	0	No Calls	FALSE
BS_APAQ2X2S	0	0	0	No Calls	FALSE
BS_BFDEZK1C	0	0	0	No Calls	FALSE
BS_9KDA3HG6	0	0	0	No Calls	FALSE
BS_QM1Z8R38	0	0	0	No Calls	FALSE
BS_XCFNEZ8E	0	0	0	No Calls	FALSE
BS_G12HNXYX	0	0	0	No Calls	FALSE
BS_VTTTQYQA	0	0	0	No Calls	FALSE
BS_WXKCR17Q	0	0	0	No Calls	FALSE
BS_D3ZV6MMY	0	0	0	No Calls	FALSE
BS_QX754ADQ	0	0	0	No Calls	FALSE
BS_50XV7CTQ	0	0	0	No Calls	FALSE
BS_RB8VSEVG	0	0	0	No Calls	FALSE
BS_XKXDH0YJ	0	0	0	No Calls	FALSE
BS_KP0YNTAK	1	0	1	Low Confidence	TRUE
BS_7M5272WN	0	0	0	No Calls	FALSE
BS_Z5VJCFNP	0	0	0	No Calls	FALSE
BS_6FYTRKJJ	0	0	0	No Calls	FALSE
BS_KAD49R68	0	0	0	No Calls	FALSE
BS_S0T3CQ97	2	0	2	Low Confidence	TRUE
BS_DC7XYYG8	0	0	0	No Calls	FALSE
BS_4PAE19ZC	0	0	0	No Calls	FALSE
BS_CFPWSZB5	0	0	0	No Calls	FALSE
BS_CWQ35N2K	0	0	0	No Calls	FALSE
BS_KT9H4B1N	0	0	0	No Calls	FALSE
BS_3R0KN6Z4	0	0	0	No Calls	FALSE
BS_XGVSX8BX	0	0	0	No Calls	FALSE
BS_M8EBKZDG	0	0	0	No Calls	FALSE
BS_D2BZ25FW	0	0	0	No Calls	FALSE
BS_E0S2Y0TS	0	0	0	No Calls	FALSE
BS_4Z6F1HJZ	0	0	0	No Calls	FALSE
BS_E5H6CFYT	0	0	0	No Calls	FALSE
BS_42A66SH4	0	0	0	No Calls	FALSE
BS_YXCVR90M	0	0	0	No Calls	FALSE
BS_MW63FCZC	0	0	0	No Calls	FALSE
BS_WRJNMEX2	0	0	0	No Calls	FALSE
BS_BSM3ZHW4	0	0	0	No Calls	FALSE
BS_SFZ3A07S	0	0	0	No Calls	FALSE
BS_JJWC13GG	0	0	0	No Calls	FALSE
BS_DT92H1MJ	0	0	0	No Calls	FALSE
BS_T8TCEBB1	0	0	0	No Calls	FALSE
BS_164KRQJ0	0	0	0	No Calls	FALSE
BS_V3SC6NWH	0	0	0	No Calls	FALSE
BS_G16NM5WJ	0	0	0	No Calls	FALSE
BS_FXDY881S	0	0	0	No Calls	FALSE
BS_1RF75MK2	0	0	0	No Calls	FALSE
BS_Y7CA8B5R	0	0	0	No Calls	FALSE
BS_KHSYAB3J	4	3	1	High Confidence	TRUE
BS_WD7AQV83	0	0	0	No Calls	FALSE
BS_HZHEF797	0	0	0	No Calls	FALSE
BS_ZJT1REVB	0	0	0	No Calls	FALSE
BS_QRH793AV	0	0	0	No Calls	FALSE
BS_1C4WCNQF	0	0	0	No Calls	FALSE
BS_ACE6QKVF	0	0	0	No Calls	FALSE
BS_DMBNB0EP	0	0	0	No Calls	FALSE
BS_KYPZRS4S	0	0	0	No Calls	FALSE
BS_XEVMEYFS	0	0	0	No Calls	FALSE
BS_ZH6PC8KM	0	0	0	No Calls	FALSE
BS_0ZR4XA69	0	0	0	No Calls	FALSE
BS_JB3J82ZK	1	0	1	Low Confidence	TRUE
BS_4ZKN0WGS	0	0	0	No Calls	FALSE
BS_5Y2Q63Y4	0	0	0	No Calls	FALSE
BS_NWYBD9CA	1	1	0	High Confidence	TRUE
BS_8H2XX24V	0	0	0	No Calls	FALSE
BS_872Q3FK2	0	0	0	No Calls	FALSE
BS_K89V7JNJ	0	0	0	No Calls	FALSE
BS_G9MQM1KK	0	0	0	No Calls	FALSE
BS_4G9Y2VC6	0	0	0	No Calls	FALSE
BS_GXACEYKB	0	0	0	No Calls	FALSE
BS_0QEBZX3M	0	0	0	No Calls	FALSE
BS_S791VC80	2	1	1	High Confidence	TRUE
BS_V8G6BZRR	0	0	0	No Calls	FALSE
BS_H50HR85Y	0	0	0	No Calls	FALSE
BS_5KFAEMQJ	0	0	0	No Calls	FALSE
BS_ZS1QRMXS	1	1	0	High Confidence	TRUE
BS_6Z4WHYDG	0	0	0	No Calls	FALSE
BS_JVTQD8HH	0	0	0	No Calls	FALSE
BS_090GV72Q	0	0	0	No Calls	FALSE
BS_WB8P21ED	0	0	0	No Calls	FALSE
BS_M1TDS9CT	0	0	0	No Calls	FALSE
BS_F5KRHGKC	0	0	0	No Calls	FALSE
BS_S88G7BXH	0	0	0	No Calls	FALSE
BS_HYGK88B0	0	0	0	No Calls	FALSE
BS_2CQ6K2JW	0	0	0	No Calls	FALSE
BS_6HE8H9HY	0	0	0	No Calls	FALSE
BS_83MSWR59	1	1	0	High Confidence	TRUE
BS_RHEBGZF8	0	0	0	No Calls	FALSE
BS_SDT1J3A7	0	0	0	No Calls	FALSE
BS_EFBBP9H3	0	0	0	No Calls	FALSE
BS_VQC2PE2B	0	0	0	No Calls	FALSE
BS_STNH7YSX	1	1	0	High Confidence	TRUE
BS_1VMBA3BN	0	0	0	No Calls	FALSE
BS_TNQKJZCP	1	0	1	Low Confidence	TRUE
BS_FVYBGMG1	0	0	0	No Calls	FALSE
BS_3Z40EZHD	0	0	0	No Calls	FALSE
BS_H2K7XX4X	0	0	0	No Calls	FALSE
BS_ZAH4FHV2	0	0	0	No Calls	FALSE
BS_WY5KYSHJ	0	0	0	No Calls	FALSE
BS_F8KR1QWE	1	0	1	Low Confidence	TRUE
BS_C3X4AEK5	0	0	0	No Calls	FALSE
BS_Z14Z2JMW	0	0	0	No Calls	FALSE
BS_AR2BH0Z4	0	0	0	No Calls	FALSE
BS_YB99Q6TN	0	0	0	No Calls	FALSE
BS_RCAZ62J7	0	0	0	No Calls	FALSE
BS_6Y7FX7QJ	0	0	0	No Calls	FALSE
BS_ZKZACPVV	0	0	0	No Calls	FALSE
BS_PNXDHDF3	1	0	1	Low Confidence	TRUE
BS_VPJ9CARN	0	0	0	No Calls	FALSE
BS_KG1YMTA4	0	0	0	No Calls	FALSE
BS_XPSD2NRJ	1	0	1	Low Confidence	TRUE
BS_V79WFJ6N	0	0	0	No Calls	FALSE
BS_EDZCAHR2	0	0	0	No Calls	FALSE
BS_04B8X54S	0	0	0	No Calls	FALSE
BS_R1ZBTEAG	0	0	0	No Calls	FALSE
BS_YYAPSA5P	0	0	0	No Calls	FALSE
BS_5V2FBYQG	0	0	0	No Calls	FALSE
BS_N8WXTFN4	0	0	0	No Calls	FALSE
BS_Q88059DJ	0	0	0	No Calls	FALSE
BS_ZPF89720	2	2	0	High Confidence	TRUE
BS_0Q8G4N8H	0	0	0	No Calls	FALSE
BS_BZ4GKDP4	0	0	0	No Calls	FALSE
BS_DH86PF5A	0	0	0	No Calls	FALSE
BS_XJZQA3AP	0	0	0	No Calls	FALSE
BS_YH60H2FS	0	0	0	No Calls	FALSE
BS_WYF8NGSD	0	0	0	No Calls	FALSE
BS_8BM1WTGR	0	0	0	No Calls	FALSE
BS_BA0M71QZ	1	0	1	Low Confidence	TRUE
BS_M16CDR44	0	0	0	No Calls	FALSE
BS_Y43VC4VG	0	0	0	No Calls	FALSE
BS_AGAW7M7W	0	0	0	No Calls	FALSE
BS_9BF58P80	0	0	0	No Calls	FALSE
BS_XVYRXN8J	0	0	0	No Calls	FALSE
BS_99PPRCW4	0	0	0	No Calls	FALSE
BS_20X874J5	1	0	1	Low Confidence	TRUE
BS_0DKPGQWD	0	0	0	No Calls	FALSE
BS_QHTDJG77	0	0	0	No Calls	FALSE
BS_PFXDWV9R	0	0	0	No Calls	FALSE
BS_K3PPH522	0	0	0	No Calls	FALSE
BS_NZRJE7QA	0	0	0	No Calls	FALSE
BS_MVC1NCZX	1	1	0	High Confidence	TRUE
BS_NTXHP7QR	0	0	0	No Calls	FALSE
BS_K6BMXTW5	0	0	0	No Calls	FALSE
BS_N0Z6V2YG	0	0	0	No Calls	FALSE
BS_RH9PMH3G	0	0	0	No Calls	FALSE
BS_HBAKYKQM	0	0	0	No Calls	FALSE
BS_2Z9JQDPV	0	0	0	No Calls	FALSE
BS_KCN7NG92	0	0	0	No Calls	FALSE
BS_WSFB4SA2	0	0	0	No Calls	FALSE
BS_7BNQBB26	0	0	0	No Calls	FALSE
BS_MWXDJFWW	0	0	0	No Calls	FALSE
BS_XKP747AS	0	0	0	No Calls	FALSE
BS_9W6FK6X4	0	0	0	No Calls	FALSE
BS_3AERRZQT	0	0	0	No Calls	FALSE
BS_40SJZGT2	0	0	0	No Calls	FALSE
BS_B73JK7T1	1	1	0	High Confidence	TRUE
BS_PJ08ZW9A	0	0	0	No Calls	FALSE
BS_AXW0XBH8	0	0	0	No Calls	FALSE
BS_HPMX6CT4	0	0	0	No Calls	FALSE
BS_12ZB7R6A	0	0	0	No Calls	FALSE
BS_9YPJANGX	0	0	0	No Calls	FALSE
BS_4RS1SC48	0	0	0	No Calls	FALSE
BS_X6361T19	0	0	0	No Calls	FALSE
BS_HZNKSQ17	0	0	0	No Calls	FALSE
BS_T1SNKF50	1	1	0	High Confidence	TRUE
BS_01DQH017	0	0	0	No Calls	FALSE
BS_V2MDX7HG	0	0	0	No Calls	FALSE
BS_7PKPNFFK	0	0	0	No Calls	FALSE
BS_SFH8TGKT	0	0	0	No Calls	FALSE
BS_XBE002WV	0	0	0	No Calls	FALSE
BS_AJ0T7DJ7	0	0	0	No Calls	FALSE
BS_3ZASRA3A	0	0	0	No Calls	FALSE
BS_P3P96WCD	0	0	0	No Calls	FALSE
BS_9BGCH82S	1	1	0	High Confidence	TRUE
BS_Y4ZX0YX7	0	0	0	No Calls	FALSE
BS_M9YZK3SP	0	0	0	No Calls	FALSE
BS_PVZJCXS1	0	0	0	No Calls	FALSE
BS_94AP61Q5	0	0	0	No Calls	FALSE
BS_ZHJFX6C9	0	0	0	No Calls	FALSE
BS_CXN0498B	0	0	0	No Calls	FALSE
BS_6XP91JM2	0	0	0	No Calls	FALSE
