Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	3'UTR	Splice_Region	RNA	Silent	total	Amp	Del	CNV_total	MutatedSamples	AlteredSamples
CTNNB1	0	0	0	0	1	0	11	0	0	0	0	0	0	0	12	0	0	0	12	12
DDX3X	0	0	0	0	0	1	7	0	1	1	1	0	0	0	11	0	0	0	10	10
KDM6A	1	0	0	1	0	0	0	0	2	3	1	1	0	0	9	0	0	0	9	9
KMT2D	0	0	2	2	0	0	1	0	3	1	0	0	0	0	9	0	0	0	8	8
KMT2C	0	0	2	2	0	0	1	0	1	0	2	0	0	0	8	0	0	0	7	7
TP53	0	0	0	0	0	0	5	0	1	0	1	0	0	0	7	0	0	0	7	7
SMARCA4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	5	5
PTCH1	0	0	3	1	0	0	0	0	0	1	0	0	0	0	5	0	0	0	4	4
TERT	0	3	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	1	3	4
KSR2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	3	3
ZIC1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	3	3
APC	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	2	2
ATM	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	2	2
CDK6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	2
CTDNEP1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	2
FOXO3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	2	2
GSE1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
KBTBD4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	2
MIR17HG	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	2
PRKAR1A	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	2	3
TCF4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	2
ZMYM3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	2	2
PTEN	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	1
ARID1A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CENPE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
CREBBP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
DICER1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
DYNC2H1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
MIR512-2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
MYCN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	2	1	3
OTX2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
PIK3CA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
SNCAIP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
SUFU	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	2
TBR1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
IDH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
