hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	7.326792998393374	1.906707499147801e-50	9.533537495739005e-49	TRUE
HALLMARK_ALLOGRAFT_REJECTION	12.147029025632898	7.601808962285337e-88	3.800904481142668e-86	TRUE
HALLMARK_ANDROGEN_RESPONSE	9.868054892788159	7.622541700187181e-71	3.8112708500935904e-69	TRUE
HALLMARK_ANGIOGENESIS	8.690491784649971	1.3983530258534292e-61	6.991765129267146e-60	TRUE
HALLMARK_APICAL_JUNCTION	11.798322197842216	2.5405532603619804e-85	1.2702766301809902e-83	TRUE
HALLMARK_APICAL_SURFACE	15.682369320346114	5.702126789043728e-112	2.851063394521864e-110	TRUE
HALLMARK_APOPTOSIS	11.323286933020137	7.71990320516094e-82	3.85995160258047e-80	TRUE
HALLMARK_BILE_ACID_METABOLISM	14.029281568814138	5.193718210817602e-101	2.5968591054088008e-99	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	9.458125432394718	1.1733339592557689e-67	5.866669796278844e-66	TRUE
HALLMARK_COAGULATION	12.809527593648392	1.4455247928746161e-92	7.227623964373081e-91	TRUE
HALLMARK_COMPLEMENT	14.646310448642279	3.6419237262249086e-105	1.8209618631124543e-103	TRUE
HALLMARK_DNA_REPAIR	9.222662301720684	8.285442885183359e-66	4.142721442591679e-64	TRUE
HALLMARK_E2F_TARGETS	22.285216761092986	5.917254002037123e-151	2.9586270010185613e-149	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	10.030233134567064	4.286938430782088e-72	2.143469215391044e-70	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	13.300089850017548	5.319803838372223e-96	2.6599019191861116e-94	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	10.751074534509137	1.4178396861645079e-77	7.089198430822539e-76	TRUE
HALLMARK_FATTY_ACID_METABOLISM	7.0355454902110734	5.1556475942426666e-48	2.5778237971213332e-46	TRUE
HALLMARK_G2M_CHECKPOINT	22.73757873761367	2.20920558126641e-153	1.104602790633205e-151	TRUE
HALLMARK_GLYCOLYSIS	6.023264269385674	1.9765628466975136e-39	9.882814233487568e-38	TRUE
HALLMARK_HEDGEHOG_SIGNALING	10.75157857575593	1.4055219509150445e-77	7.027609754575223e-76	TRUE
HALLMARK_HEME_METABOLISM	6.859007586867921	1.56702166879652e-46	7.8351083439826e-45	TRUE
HALLMARK_HYPOXIA	9.352418458019828	7.90342566320527e-67	3.951712831602635e-65	TRUE
HALLMARK_IL2_STAT5_SIGNALING	13.626270556106476	2.9572589510916555e-98	1.4786294755458278e-96	TRUE
