hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	4.834046103205463	0.03205120390640614	1	FALSE
HALLMARK_ALLOGRAFT_REJECTION	6.230207043387079	0.015529933618273454	0.7764966809136727	FALSE
HALLMARK_ANDROGEN_RESPONSE	7.0039826721354395	0.010539766649957828	0.5269883324978913	FALSE
HALLMARK_ANGIOGENESIS	1.0908698470023535	0.30076626773051934	1	FALSE
HALLMARK_APICAL_JUNCTION	3.2287176269890616	0.07775087437341736	1	FALSE
HALLMARK_APICAL_SURFACE	1.1217058747985182	0.29409842708722245	1	FALSE
HALLMARK_APOPTOSIS	5.349235391713182	0.024429576758201312	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	10.872738678196184	0.0016986739867797837	0.08493369933898919	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	6.638590147491719	0.012642703896555672	0.6321351948277836	FALSE
HALLMARK_COAGULATION	8.406763662517099	0.005330528771429586	0.2665264385714793	FALSE
HALLMARK_COMPLEMENT	10.351843454302578	0.0021516100465700555	0.10758050232850278	FALSE
HALLMARK_DNA_REPAIR	4.6480324021143735	0.035400245924765386	1	FALSE
HALLMARK_E2F_TARGETS	8.809460478287052	0.004402750110820122	0.22013750554100608	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.2688771384438122	0.2647814885318089	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	9.126840158859991	0.003791719936346638	0.1895859968173319	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	8.19555210171613	0.005897366676734729	0.29486833383673644	FALSE
HALLMARK_FATTY_ACID_METABOLISM	4.280722271409461	0.04317444123564828	1	FALSE
HALLMARK_G2M_CHECKPOINT	6.270087100983359	0.015219371267919076	0.7609685633959539	FALSE
HALLMARK_GLYCOLYSIS	0.013298786510645396	0.908603719296689	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	0.45129291730015275	0.5044836885520307	1	FALSE
HALLMARK_HEME_METABOLISM	11.888238127485426	0.001079293497257846	0.0539646748628923	FALSE
HALLMARK_HYPOXIA	3.270261198486335	0.07591674795694309	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	7.276986805191817	0.009211609412010617	0.46058047060053087	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	11.258243366603674	0.0014284199645391948	0.07142099822695974	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	11.226099989384664	0.0014491314609264788	0.07245657304632394	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	6.841648321401685	0.011424285114233988	0.5712142557116994	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	8.362301708243493	0.005444899437970176	0.2722449718985088	FALSE
HALLMARK_KRAS_SIGNALING_DN	0.9078549121819767	0.34477891926673665	1	FALSE
HALLMARK_KRAS_SIGNALING_UP	10.464360124491966	0.0020440587774071166	0.10220293887035584	FALSE
HALLMARK_MITOTIC_SPINDLE	3.0182915598150366	0.08782765404491034	1	FALSE
HALLMARK_MTORC1_SIGNALING	0.017466872264023544	0.895329645440806	1	FALSE
HALLMARK_MYC_TARGETS_V1	9.938200518597796	0.0026007781357189627	0.13003890678594815	FALSE
HALLMARK_MYC_TARGETS_V2	8.80690864587811	0.0044080624794736395	0.22040312397368197	FALSE
HALLMARK_MYOGENESIS	9.791838758394691	0.0027823888022101215	0.1391194401105061	FALSE
HALLMARK_NOTCH_SIGNALING	2.794737070320449	0.10015366460770218	1	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.10384979043019486	0.7484577528383662	1	FALSE
HALLMARK_P53_PATHWAY	2.75409850620584	0.10259614107367923	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	3.948107631939479	0.051824354839052345	1	FALSE
HALLMARK_PEROXISOME	4.293834069481569	0.04286720605649523	1	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.8041234560472454	0.3737022659409248	1	FALSE
HALLMARK_PROTEIN_SECRETION	3.1435033970349373	0.08166837085422582	1	FALSE
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.8329494030504427	0.3653335572760791	1	FALSE
HALLMARK_SPERMATOGENESIS	2.1574656171865922	0.14747390971846713	1	FALSE
HALLMARK_TGF_BETA_SIGNALING	3.0272937732167886	0.08736801918605597	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	11.755434971523481	0.001144641960033813	0.05723209800169064	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.836607826547221	0.18079046147786418	1	FALSE
HALLMARK_UV_RESPONSE_DN	2.3048360113435105	0.1345976219555037	1	FALSE
HALLMARK_UV_RESPONSE_UP	2.3659046048836694	0.1296436972345197	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.3125290334686408	0.25680963398104	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	8.235540251834385	0.005785369815805507	0.28926849079027533	FALSE
