hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	12.828445870950857	4.015884799724815e-58	2.0079423998624073e-56	TRUE
HALLMARK_ALLOGRAFT_REJECTION	22.26331724836199	3.789780747467585e-99	1.8948903737337924e-97	TRUE
HALLMARK_ANDROGEN_RESPONSE	17.53791749125821	1.5543463564644306e-79	7.771731782322153e-78	TRUE
HALLMARK_ANGIOGENESIS	15.000449861049729	3.044994437960049e-68	1.5224972189800246e-66	TRUE
HALLMARK_APICAL_JUNCTION	21.13129637012889	1.3147925261271838e-94	6.573962630635919e-93	TRUE
HALLMARK_APICAL_SURFACE	29.716785506680957	7.615100513206008e-127	3.8075502566030035e-125	TRUE
HALLMARK_APOPTOSIS	20.97373636752216	5.733527072866318e-94	2.8667635364331587e-92	TRUE
HALLMARK_BILE_ACID_METABOLISM	30.244975141332635	1.1231173543128346e-128	5.615586771564173e-127	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	18.359032856354293	4.521652299501218e-83	2.260826149750609e-81	TRUE
HALLMARK_COAGULATION	23.928068221550543	1.1785425248841623e-105	5.892712624420811e-104	TRUE
HALLMARK_COMPLEMENT	26.598672962197355	1.0731499675823092e-115	5.365749837911546e-114	TRUE
HALLMARK_DNA_REPAIR	12.14040289610444	7.928830145192998e-55	3.964415072596499e-53	TRUE
HALLMARK_E2F_TARGETS	35.46221484080563	5.983550280785575e-146	2.991775140392788e-144	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	17.18701169972288	5.248341382723317e-78	2.6241706913616585e-76	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	24.040029035803006	4.372556015928818e-106	2.186278007964409e-104	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	20.48064877199826	5.918712903997673e-92	2.9593564519988365e-90	TRUE
HALLMARK_FATTY_ACID_METABOLISM	13.902178368330631	3.5269942661379404e-63	1.7634971330689703e-61	TRUE
HALLMARK_G2M_CHECKPOINT	37.757657610938296	4.0718628062347873e-153	2.0359314031173937e-151	TRUE
HALLMARK_GLYCOLYSIS	9.43255957913323	1.9127172602681394e-41	9.563586301340697e-40	TRUE
HALLMARK_HEDGEHOG_SIGNALING	16.80564704089102	2.4719594569133736e-76	1.2359797284566868e-74	TRUE
HALLMARK_HEME_METABOLISM	12.784733290435469	6.484240040440809e-58	3.2421200202204044e-56	TRUE
HALLMARK_HYPOXIA	16.753837619531943	4.1810560419933656e-76	2.0905280209966826e-74	TRUE
HALLMARK_IL2_STAT5_SIGNALING	24.16591338666885	1.4375115940303536e-106	7.187557970151768e-105	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	24.344002833690737	2.9922573763472245e-107	1.4961286881736122e-105	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	26.65756437065965	6.524157047297654e-116	3.262078523648827e-114	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	25.2270233758296	1.3435834912997864e-110	6.717917456498932e-109	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	25.074923586224454	5.0252875703550326e-110	2.5126437851775162e-108	TRUE
HALLMARK_KRAS_SIGNALING_DN	15.427437993004194	3.499732178089855e-70	1.7498660890449274e-68	TRUE
HALLMARK_KRAS_SIGNALING_UP	25.511889347526587	1.1466738367365524e-111	5.733369183682762e-110	TRUE
HALLMARK_MITOTIC_SPINDLE	14.435518957138216	1.1878319186988311e-65	5.939159593494155e-64	TRUE
HALLMARK_MTORC1_SIGNALING	6.908203874259605	1.9114993288778297e-28	9.557496644389149e-27	TRUE
HALLMARK_MYC_TARGETS_V1	17.840980508749226	7.582588655029088e-81	3.791294327514544e-79	TRUE
HALLMARK_MYC_TARGETS_V2	18.03257009292356	1.1337945312415088e-81	5.668972656207544e-80	TRUE
HALLMARK_MYOGENESIS	29.50734768467264	4.0950850212068254e-126	2.047542510603413e-124	TRUE
HALLMARK_NOTCH_SIGNALING	22.59695267114843	1.8136369962824179e-100	9.06818498141209e-99	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.4148155754329497	2.3025596516013227e-10	1.1512798258006613e-8	TRUE
HALLMARK_P53_PATHWAY	20.707309334280747	6.985684208827668e-93	3.492842104413834e-91	TRUE
HALLMARK_PANCREAS_BETA_CELLS	8.876509649808034	1.2796652000568154e-38	6.398326000284077e-37	TRUE
HALLMARK_PEROXISOME	10.737794636835433	5.626818754406464e-48	2.8134093772032317e-46	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	8.53516909851388	7.134286869369324e-37	3.567143434684662e-35	TRUE
HALLMARK_PROTEIN_SECRETION	11.971603058324561	5.179491195015772e-54	2.589745597507886e-52	TRUE
