cancer_group	n
Adenoma	4
Atypical choroid plexus papilloma	1
Atypical Teratoid Rhabdoid Tumor	24
Cavernoma	2
Chordoma	3
Choroid plexus carcinoma	3
Choroid plexus cyst	1
Choroid plexus papilloma	12
CNS Burkitt's lymphoma	1
CNS Embryonal tumor	5
CNS neuroblastoma	1
Craniopharyngioma	30
Desmoplastic infantile astrocytoma and ganglioglioma	1
Diffuse fibrillary astrocytoma	1
Diffuse midline glioma	34
Dysembryoplastic neuroepithelial tumor	19
Dysplasia Gliosis-Glial-neuronal tumor NOS	1
Embryonal tumor with multilayer rosettes	2
Ependymoma	60
Epilepsy	1
Ewing sarcoma	7
Ganglioglioma	35
Ganglioneuroblastoma	1
Ganglioneuroma	1
Germinoma	4
Glial-neuronal tumor NOS	4
Hemangioblastoma	2
High-grade glioma astrocytoma	26
Juvenile xanthogranuloma	2
Langerhans Cell histiocytosis	4
Low-grade glioma astrocytoma	187
Malignant peripheral nerve sheath tumor	1
Medulloblastoma	95
Melanocytic tumor	1
Meningioma	17
Metastatic secondary tumors	3
Myxoid spindle cell tumor	1
Neurocytoma	2
Neurofibroma Plexiform	7
Oligodendroglioma	1
Pilocytic astrocytoma	1
Pineoblastoma	3
Pleomorphic xanthoastrocytoma	1
Rhabdomyosarcoma	2
Rosai-Dorfman disease	1
Sarcoma	3
Schwannoma	11
Subependymal Giant Cell Astrocytoma	2
Teratoma	4
NA	27
