frontal_lobe	parietal_lobe	temporal_lobe	spinal_cord	ventricles	cerebellum	occipital_lobe	suprasellar_hypothalamic_pituitary	skull	brain_stem_midbrain	thalamus	brain_stem_medulla	spine	pons	pineal_gland	meninges	basal_ganglia	optic_pathway	hippocampus	cranial_nerves
High-grade glioma;astrocytoma (WHO grade III/IV)	Low-grade glioma;astrocytoma (WHO grade I/II)	Low-grade glioma;astrocytoma (WHO grade I/II)	Schwannoma	Ependymoma	Low-grade glioma;astrocytoma (WHO grade I/II)	Ependymoma	Craniopharyngioma	Chordoma	Low-grade glioma;astrocytoma (WHO grade I/II)	High-grade glioma;astrocytoma (WHO grade III/IV)	Low-grade glioma;astrocytoma (WHO grade I/II)	Schwannoma	Brainstem glioma- Diffuse intrinsic pontine glioma	Teratoma	Meningioma	High-grade glioma;astrocytoma (WHO grade III/IV)	Low-grade glioma;astrocytoma (WHO grade I/II)	Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	Schwannoma
Low-grade glioma;astrocytoma (WHO grade I/II)	High-grade glioma;astrocytoma (WHO grade III/IV)	Ganglioglioma	Ependymoma	Low-grade glioma;astrocytoma (WHO grade I/II)	Medulloblastoma	Ganglioglioma	Low-grade glioma;astrocytoma (WHO grade I/II)	Langerhans Cell histiocytosis	Atypical Teratoid Rhabdoid Tumor	Low-grade glioma;astrocytoma (WHO grade I/II)	Ganglioglioma	Ependymoma	Atypical Teratoid Rhabdoid Tumor	Germinoma	Atypical Teratoid Rhabdoid Tumor	Low-grade glioma;astrocytoma (WHO grade I/II)	High-grade glioma;astrocytoma (WHO grade III/IV)	High-grade glioma;astrocytoma (WHO grade III/IV)	Atypical Teratoid Rhabdoid Tumor
Dysembryoplastic neuroepithelial tumor	Ependymoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Neurofibroma;Plexiform	Choroid plexus papilloma	Ependymoma	Low-grade glioma;astrocytoma (WHO grade I/II)	Adenoma	Atypical Teratoid Rhabdoid Tumor	Ependymoma	Atypical Teratoid Rhabdoid Tumor	Hemangioblastoma	Ewings Sarcoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Pineoblastoma	Fibromyxoid Tumor	Atypical Teratoid Rhabdoid Tumor	Germinoma	Low-grade glioma;astrocytoma (WHO grade I/II)	Ependymoma
Ganglioglioma	Ganglioglioma	Dysembryoplastic neuroepithelial tumor	Medulloblastoma	Medulloblastoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Choroid plexus papilloma	Medulloblastoma	Dysplasia;Gliosis	High-grade glioma;astrocytoma (WHO grade III/IV)	Germinoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Ganglioneuroma	Ependymoma	Supratentorial or Spinal Cord PNET	Medulloblastoma	Germinoma	Medulloblastoma	NA	NA
Ependymoma	Atypical Teratoid Rhabdoid Tumor	Meningioma	Ganglioneuroblastoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Atypical Teratoid Rhabdoid Tumor	Dysplasia;Gliosis	High-grade glioma;astrocytoma (WHO grade III/IV)	Ewings Sarcoma	Medulloblastoma	Non-germinomatous germ cell tumor;Teratoma	Brainstem glioma- Diffuse intrinsic pontine glioma	Low-grade glioma;astrocytoma (WHO grade I/II)	Ganglioglioma	Germinoma;Teratoma	Neuroblastoma	Myeloid Sarcoma	Meningioma	NA	NA
Meningioma	Choroid plexus carcinoma	Ependymoma	Pineoblastoma	Subependymal Giant Cell Astrocytoma (SEGA)	Ewings Sarcoma	Ganglioneuroblastoma	Teratoma	Fibromyxoid Tumor	Non-germinomatous germ cell tumor;Teratoma	Brainstem glioma- Diffuse intrinsic pontine glioma	Ependymoma	Neurofibroma;Plexiform	Low-grade glioma;astrocytoma (WHO grade I/II)	Non-germinomatous germ cell tumor;Teratoma	Sarcoma	NA	NA	NA	NA
Atypical Teratoid Rhabdoid Tumor	Meningioma	Dysplasia;Gliosis	Dermoid Cyst	Meningioma	Ganglioglioma	Gliomatosis Cerebri	Ependymoma	Meningioma	Brainstem glioma- Diffuse intrinsic pontine glioma	Ganglioglioma	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dysplasia;Gliosis	Choroid plexus papilloma	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor	Neurocytoma	Hemangioblastoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Germinoma	Neuroblastoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Supratentorial or Spinal Cord PNET	Dysembryoplastic neuroepithelial tumor	Sarcoma	Brainstem glioma- Diffuse intrinsic pontine glioma	Atypical Teratoid Rhabdoid Tumor	Brain arteriovenous malformation	Medulloblastoma	Non-Langerhans Histiocytosis;JXG	Neurofibroma;Plexiform	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cavernoma	Dysplasia;Gliosis	Supratentorial or Spinal Cord PNET	Chondrosarcoma	Brainstem glioma- Diffuse intrinsic pontine glioma	Brainstem glioma- Diffuse intrinsic pontine glioma	Metastatic secondary tumors	Schwannoma	Ossifying Fibroma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Choroid plexus carcinoma	Embryonal tumor with multilayer rosettes NOS	Choroid plexus carcinoma	Cyst	Choroid plexus carcinoma	Choroid plexus papilloma	Myxoid spindle cell tumor	Cyst	Primary CNS lymphoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cortical Tubers	Ganglioneuroblastoma	Choroid plexus papilloma	Ewings Sarcoma	Choroid plexus cyst	Cyst	Reactive Gliosis	Prolactinoma	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
