harmonized_diagnosis	count	percent
Low-grade glioma/astrocytoma, KIAA1549-BRAF	107	10.96%
Diffuse midline glioma, H3 K28-mutant	55	5.64%
Ependymoma	55	5.64%
Medulloblastoma, group 4	48	4.92%
High-grade glioma/astrocytoma, H3 wildtype	43	4.41%
Low-grade glioma/astrocytoma, wildtype	40	4.1%
High-grade glioma/astrocytoma (WHO grade III/IV)	35	3.59%
Atypical Teratoid Rhabdoid Tumor (ATRT)	28	2.87%
Adamantinomatous craniopharyngioma	27	2.77%
Ependymoma, Supratentorial, RELA fusion positive	26	2.66%
Dysembryoplastic neuroepithelial tumor (DNET)	24	2.46%
Low-grade glioma/astrocytoma, BRAF V600E	24	2.46%
Medulloblastoma	24	2.46%
Medulloblastoma, SHH-activated	24	2.46%
Meningioma	19	1.95%
Neurofibroma/Plexiform	18	1.84%
Schwannoma	16	1.64%
Choroid plexus papilloma	14	1.43%
Dysplasia/Gliosis	14	1.43%
Ganglioglioma, wildtype	14	1.43%
Medulloblastoma, group 3	14	1.43%
CNS Embryonal tumor, NOS	13	1.33%
Ganglioglioma, BRAF V600E	13	1.33%
Craniopharyngioma	11	1.13%
Low-grade glioma/astrocytoma, other MAPK	11	1.13%
Low-grade glioma/astrocytoma (WHO grade I/II)	10	1.02%
Medulloblastoma, WNT-activated	10	1.02%
Brainstem glioma- Diffuse intrinsic pontine glioma	9	0.92%
Ewing sarcoma	9	0.92%
Low-grade glioma/astrocytoma, RTK	9	0.92%
Low-grade glioma/astrocytoma, FGFR	8	0.82%
Teratoma	8	0.82%
Glial-neuronal tumor NOS	7	0.72%
Atypical meningioma	6	0.61%
Low-grade glioma/astrocytoma, NF1-germline	6	0.61%
Sarcoma	6	0.61%
Embryonal tumor with multilayer rosettes, C19MC-altered	5	0.51%
Ganglioglioma, KIAA1549-BRAF	5	0.51%
Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	5	0.51%
Adenoma	4	0.41%
Choroid plexus carcinoma	4	0.41%
Ependymoma, Supratentorial, YAP1 fusion positive	4	0.41%
Ganglioglioma, other MAPK	4	0.41%
Germinoma	4	0.41%
High-grade glioma/astrocytoma, H3 G35-mutant	4	0.41%
Langerhans Cell histiocytosis	4	0.41%
Malignant peripheral nerve sheath tumor (MPNST)	4	0.41%
Metastatic secondary tumors	4	0.41%
Pineoblastoma	4	0.41%
Benign tumor, dermoid cyst	3	0.31%
Benign tumor, meningioangiomatosis	3	0.31%
Ependymoma, Posterior Fossa, Type A	3	0.31%
Low-grade glioma/astrocytoma, IDH	3	0.31%
Metastatic secondary tumors;Neuroblastoma	3	0.31%
Neurocytoma	3	0.31%
Pilocytic astrocytoma	3	0.31%
Subependymal Giant Cell Astrocytoma, wildtype	3	0.31%
Atypical choroid plexus papilloma	2	0.2%
Benign tumor, osteoblastoma	2	0.2%
Cavernoma	2	0.2%
Chordoma, conventional	2	0.2%
Chordoma, poorly differentiated	2	0.2%
CNS neuroblastoma	2	0.2%
Ganglioglioma	2	0.2%
Ganglioglioma, RTK	2	0.2%
Ganglioneuroblastoma	2	0.2%
Hemangioblastoma	2	0.2%
High-grade glioma/astrocytoma, IDH-mutant	2	0.2%
