frontal.lobe	parietal.lobe	temporal.lobe	spinal.cord	ventricles	cerebellum	occipital.lobe	suprasellar.hypothalamic.pituitary	skull	brain.stem	thalamus	spine	pons	pineal.gland	meninges	basal.ganglia	optic.pathway	hippocampus	cranial.nerves
High-grade glioma;astrocytoma (WHO grade III/IV)	Low-grade glioma;astrocytoma (WHO grade I/II)	Low-grade glioma;astrocytoma (WHO grade I/II)	Schwannoma	Ependymoma	Low-grade glioma;astrocytoma (WHO grade I/II)	Ependymoma	Craniopharyngioma	Chordoma	Brainstem glioma;Diffuse intrinsic pontine glioma	High-grade glioma;astrocytoma (WHO grade III/IV)	Malignant peripheral nerve sheath tumor	Brainstem glioma;Diffuse intrinsic pontine glioma	Teratoma	Meningioma	High-grade glioma;astrocytoma (WHO grade III/IV)	Low-grade glioma;astrocytoma (WHO grade I/II)	Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	Schwannoma
Low-grade glioma;astrocytoma (WHO grade I/II)	High-grade glioma;astrocytoma (WHO grade III/IV)	High-grade glioma;astrocytoma (WHO grade III/IV)	Ependymoma	Low-grade glioma;astrocytoma (WHO grade I/II)	Medulloblastoma	Ganglioglioma	Low-grade glioma;astrocytoma (WHO grade I/II)	Langerhans Cell histiocytosis	Low-grade glioma;astrocytoma (WHO grade I/II)	Low-grade glioma;astrocytoma (WHO grade I/II)	Schwannoma	Atypical Teratoid Rhabdoid Tumor	Germinoma	Atypical Teratoid Rhabdoid Tumor	Low-grade glioma;astrocytoma (WHO grade I/II)	High-grade glioma;astrocytoma (WHO grade III/IV)	Dysplasia;Gliosis	Atypical Teratoid Rhabdoid Tumor
Dysembryoplastic neuroepithelial tumor	Ependymoma	Ganglioglioma	Neurofibroma;Plexiform	Choroid plexus papilloma	Ependymoma	Metastatic secondary tumors	Adenoma	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor	Ependymoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Pineoblastoma	Fibromyxoid Tumor	Atypical Teratoid Rhabdoid Tumor	Germinoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Ependymoma
Ependymoma	Ganglioglioma	Dysembryoplastic neuroepithelial tumor	Medulloblastoma	Medulloblastoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Gliomatosis Cerebri	Medulloblastoma	Dysplasia;Gliosis	High-grade glioma;astrocytoma (WHO grade III/IV)	Ganglioglioma	Ewings Sarcoma	Ependymoma	Supratentorial or Spinal Cord PNET	Medulloblastoma	Germinoma	Medulloblastoma	Low-grade glioma;astrocytoma (WHO grade I/II)	NA
Ganglioglioma	Atypical Teratoid Rhabdoid Tumor	Meningioma	Ganglioneuroblastoma	High-grade glioma;astrocytoma (WHO grade III/IV)	Atypical Teratoid Rhabdoid Tumor	Low-grade glioma;astrocytoma (WHO grade I/II)	High-grade glioma;astrocytoma (WHO grade III/IV)	Ewings Sarcoma	Ependymoma	Germinoma	Ganglioneuroma	Ganglioglioma	Germinoma;Teratoma	Neuroblastoma	Myeloid Sarcoma	Meningioma	NA	NA
Meningioma	Cavernoma	Ependymoma	Pineoblastoma	Subependymal Giant Cell Astrocytoma (SEGA)	Ewings Sarcoma	Choroid plexus papilloma	Teratoma	Fibromyxoid Tumor	Ganglioglioma	Non-germinomatous germ cell tumor;Teratoma	Low-grade glioma;astrocytoma (WHO grade I/II)	Low-grade glioma;astrocytoma (WHO grade I/II)	Non-germinomatous germ cell tumor;Teratoma	Sarcoma	NA	NA	NA	NA
Atypical Teratoid Rhabdoid Tumor	Choroid plexus carcinoma	Dysplasia;Gliosis	Supratentorial or Spinal Cord PNET	Meningioma	Ganglioglioma	Dysplasia;Gliosis	Cyst	Meningioma	Hemangioblastoma	Brainstem glioma;Diffuse intrinsic pontine glioma	Neurofibroma;Plexiform	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA
Dysplasia;Gliosis	Meningioma	Supratentorial or Spinal Cord PNET	Dermoid Cyst	Neurocytoma	Hemangioblastoma	Ganglioneuroblastoma	Ependymoma	Neuroblastoma	Medulloblastoma	Supratentorial or Spinal Cord PNET	Ganglioglioma	NA	NA	NA	NA	NA	NA	NA
Supratentorial or Spinal Cord PNET	Gliomatosis Cerebri	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor	Supratentorial or Spinal Cord PNET	Brain arteriovenous malformation	High-grade glioma;astrocytoma (WHO grade III/IV)	Germinoma	Neurofibroma;Plexiform	Non-germinomatous germ cell tumor;Teratoma	NA	NA	NA	NA	NA	NA	NA	NA	NA
Metastatic secondary tumors	Choroid plexus papilloma	Metastatic secondary tumors	Brainstem glioma;Diffuse intrinsic pontine glioma	Atypical Teratoid Rhabdoid Tumor	Brainstem glioma;Diffuse intrinsic pontine glioma	Medulloblastoma	Non-Langerhans Histiocytosis;JXG	Ossifying Fibroma	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA	NA	NA	NA
