	feature	weight	abs_val
6702	PBX3	0.13976093962673666	0.13976093962673666
4592	SPRY2	0.12371335496443378	0.12371335496443378
6708	C15orf52	0.10610033660507633	0.10610033660507633
2882	PPP1R3B	0.10469986683461537	0.10469986683461537
1520	MLPH	0.10206863365398272	0.10206863365398272
1073	ERRFI1	0.09934723488542796	0.09934723488542796
4485	CMAS	0.09021269170896516	0.09021269170896516
3314	MRPS35	0.08935106351651775	0.08935106351651775
6310	CDK13	-0.08391480773949009	0.08391480773949009
3589	PDLIM4	-0.08238581093288387	0.08238581093288387
488	CNN2	0.08138280365345574	0.08138280365345574
7132	PDE5A	-0.07718764069145354	0.07718764069145354
3128	PURB	-0.0761644140795734	0.0761644140795734
2814	KCNN4	0.07374141360323411	0.07374141360323411
7566	FADS3	-0.07323265757231014	0.07323265757231014
439	SEPP1	-0.07152877913334954	0.07152877913334954
553	PHLDA1	0.07090865367267084	0.07090865367267084
5139	DUOX2	0.06989487388993099	0.06989487388993099
6994	KIAA1539	0.06920203259505696	0.06920203259505696
3815	ALDOC	-0.06433299999307099	0.06433299999307099
5954	C12orf11	0.06351421623102893	0.06351421623102893
7898	POC1B	0.06245819950339763	0.06245819950339763
138	CLU	-0.06046612384719645	0.06046612384719645
1347	AGPAT2	0.05862702804158409	0.05862702804158409
7528	TRIM21	0.058439602942688226	0.058439602942688226
2061	CANT1	0.05771141739211411	0.05771141739211411
7239	IL17RE	0.05704622015858427	0.05704622015858427
6489	ZADH2	0.05671417273536099	0.05671417273536099
5769	PAPLN	-0.052419472647891485	0.052419472647891485
6149	DUSP4	0.05207394526641355	0.05207394526641355
5021	CUL1	-0.050859547893828634	0.050859547893828634
4025	COBLL1	-0.050176581932112316	0.050176581932112316
7151	ERGIC2	0.04955963061229085	0.04955963061229085
2770	CDC42BPA	0.04914771985831344	0.04914771985831344
2913	SNX9	0.04817204469489255	0.04817204469489255
7023	ZNF322A	0.048070792394451715	0.048070792394451715
8033	log10_mut	0.04802792417843043	0.04802792417843043
4284	TRIM27	0.04756395419389611	0.04756395419389611
1450	IFNGR1	-0.04700867548114072	0.04700867548114072
7531	LRCH1	0.046889947377728336	0.046889947377728336
6414	ITIH5	-0.0455421339935051	0.0455421339935051
3137	STK38L	0.045408335118779015	0.045408335118779015
2785	GDE1	-0.04490805654426275	0.04490805654426275
2979	GALNT10	0.04452480746843634	0.04452480746843634
1173	MGLL	0.04431630195761415	0.04431630195761415
604	MET	-0.04407515454255385	0.04407515454255385
7216	KLHL22	-0.04326569580936578	0.04326569580936578
5545	BCL2L11	-0.043171248114760516	0.043171248114760516
5959	SECISBP2	0.04312835242070097	0.04312835242070097
2960	LPCAT3	-0.04230023544049693	0.04230023544049693
3353	SRRM1	-0.042265282436685016	0.042265282436685016
7972	POLD3	-0.04126765154233302	0.04126765154233302
431	STOM	-0.04091387018261063	0.04091387018261063
678	SYNE2	-0.03972346837611	0.03972346837611
48	KRT18	0.039584379496033724	0.039584379496033724
5054	SHB	0.039320480538762255	0.039320480538762255
279	AP2M1	-0.03918258845753594	0.03918258845753594
7203	INHBB	-0.03851988860651663	0.03851988860651663
4082	SPRED2	0.037913636970623034	0.037913636970623034
3398	MDFIC	-0.03684873278031064	0.03684873278031064
1325	SERPINB6	0.03618090603641875	0.03618090603641875
4976	FOXO1	0.03593122073419198	0.03593122073419198
96	NDRG1	-0.035878887204168	0.035878887204168
7423	AZI2	0.03565083385851122	0.03565083385851122
6042	C17orf63	0.035492740513217436	0.035492740513217436
273	PTRF	-0.03489980448390724	0.03489980448390724
4795	C17orf37	-0.034014764827638135	0.034014764827638135
3929	UBE2S	0.032942150986561815	0.032942150986561815
1533	SH3BP4	0.03277430414655354	0.03277430414655354
635	STAT3	-0.032598991694503456	0.032598991694503456
3093	IRS2	0.032193773479752635	0.032193773479752635
1217	PTPRS	-0.03199611141380994	0.03199611141380994
4606	LLGL1	-0.031906029794644936	0.031906029794644936
7787	NFS1	-0.03171984652628032	0.03171984652628032
4595	SMAD5	0.030966646780428375	0.030966646780428375
2592	LPGAT1	0.030592138699350388	0.030592138699350388
1198	CAV2	-0.029753588748673745	0.029753588748673745
6777	SIKE1	0.029475667935265067	0.029475667935265067
375	BTF3	0.029389869103612725	0.029389869103612725
1985	ABHD12	-0.029330593991622564	0.029330593991622564
6395	PNPLA8	-0.02918338172308208	0.02918338172308208
623	RHOC	0.029031120436270257	0.029031120436270257
3906	CTDSPL	0.028891987943465317	0.028891987943465317
1672	C9orf86	0.028749007312921487	0.028749007312921487
4348	KPNA1	-0.028411797572290044	0.028411797572290044
2139	LTA4H	0.02748743889012556	0.02748743889012556
5111	TSG101	0.026918946116069487	0.026918946116069487
4622	MRPS27	0.0267834822368651	0.0267834822368651
2863	FAM20C	-0.026718562222850312	0.026718562222850312
2654	ALKBH5	-0.026355294856840846	0.026355294856840846
4927	BRP44	-0.026352066607034357	0.026352066607034357
1822	PSMB2	-0.02615075998970036	0.02615075998970036
2050	RND3	-0.025926390690303145	0.025926390690303145
1181	SEPN1	-0.025553303472604705	0.025553303472604705
2797	PTPRJ	0.02499082550120101	0.02499082550120101
2778	HTRA3	0.024732906923021446	0.024732906923021446
1481	PHC2	0.023998298770055077	0.023998298770055077
1589	SLC6A6	0.02394133841802837	0.02394133841802837
5646	ETNK2	-0.0238649791866166	0.0238649791866166
5390	COL8A2	-0.023556903731985608	0.023556903731985608
5721	PM20D2	-0.023367736682806905	0.023367736682806905
2379	POFUT1	-0.02302477130959401	0.02302477130959401
